date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,220.89,221.31,219.21,221.21,221.21,1541746,1541746,0.32,0.14487,220.655,"May 17, 24",0.0014487
2024-05-16,219.95,221.26,218.43,220.43,220.43,1405406,1405406,0.48,0.21823,220.0175,"May 16, 24",0.0021823
2024-05-15,219.13,221.65,217.72,220.24,220.24,1251171,1251171,1.11,0.50655,219.685,"May 15, 24",0.0050655
2024-05-14,215.76,217.06,214.74,215.83,215.83,1883340,1883340,0.07,0.03244346,215.8475,"May 14, 24",0.0003244346
2024-05-13,219.79,219.98,216.13,216.65,216.65,1465619,1465619,-3.14,-1.43,218.1375,"May 13, 24",-0.0143
2024-05-10,219.43,220.73,216.61,217.77,217.77,1032861,1032861,-1.66,-0.75651,218.635,"May 10, 24",-0.0075651
2024-05-09,214.8,218.73,213.66,218.63,218.63,1487020,1487020,3.83,1.78,216.455,"May 09, 24",0.0178
2024-05-08,213.75,214.68,213,213.95,213.95,1189663,1189663,0.2,0.09356725,213.845,"May 08, 24",0.0009356725
2024-05-07,216.38,216.74,213.45,214.62,214.62,1860058,1860058,-1.76,-0.81338,215.2975,"May 07, 24",-0.0081338
2024-05-06,215.52,217.2,214.49,216.7,216.7,1343774,1343774,1.18,0.54751,215.9775,"May 06, 24",0.0054751
2024-05-03,214.37,217.35,214.14,215.19,215.19,1197081,1197081,0.82,0.38252,215.2625,"May 03, 24",0.0038252
2024-05-02,211.85,212.4,208.8,209.95,209.95,1589246,1589246,-1.9,-0.89686,210.75,"May 02, 24",-0.0089686
2024-05-01,211,216,209.08,210.71,210.71,1687750,1687750,-0.29,-0.13744,211.6975,"May 01, 24",-0.0013744
2024-04-30,216.45,217.64,212.75,212.85,212.85,1427716,1427716,-3.6,-1.66,214.9225,"April 30, 24",-0.0166
2024-04-29,218.38,219.09,214.49,216.78,216.78,1437021,1437021,-1.6,-0.73267,217.185,"April 29, 24",-0.0073267
2024-04-26,215.77,219.36,215.5,217.93,217.93,1277888,1277888,2.16,1,217.14,"April 26, 24",0.01
2024-04-25,214.33,216.8,213.54,216.4,216.4,2211585,2211585,2.07,0.9658,215.2675,"April 25, 24",0.009658
2024-04-24,217.35,218.62,214.15,215,215,2628238,2628238,-2.35,-1.08,216.28,"April 24, 24",-0.0108
2024-04-23,217.13,219.35,217.13,217.93,217.93,1504576,1504576,0.8,0.36844,217.885,"April 23, 24",0.0036844
2024-04-22,218.7,219.27,214.33,217.13,217.13,1776476,1776476,-1.57,-0.71788,217.3575,"April 22, 24",-0.0071788
2024-04-19,211.55,216.84,210.2,216.5,216.5,3157485,3157485,4.95,2.34,213.7725,"April 19, 24",0.0234
2024-04-18,214.56,214.76,206.23,210.63,210.63,4609060,4609060,-3.93,-1.83,211.545,"April 18, 24",-0.0183
2024-04-17,212.77,219.5,207.43,214.92,214.92,6357444,6357444,2.15,1.01,213.655,"April 17, 24",0.0101
2024-04-16,230.4,230.43,227.57,228.24,228.24,2120161,2120161,-2.16,-0.9375,229.16,"April 16, 24",-0.009375
2024-04-15,239.95,239.95,228.91,229.62,229.62,1385762,1385762,-10.33,-4.31,234.6075,"April 15, 24",-0.0431
2024-04-12,236.58,238,234.05,236.98,236.98,1617057,1617057,0.4,0.16908,236.4025,"April 12, 24",0.0016908
2024-04-11,239.06,242.56,237.54,241.06,241.06,1171342,1171342,2,0.83661,240.055,"April 11, 24",0.0083661
2024-04-10,243.59,244.2,238.1,239.01,239.01,1285050,1285050,-4.58,-1.88,241.225,"April 10, 24",-0.0188
2024-04-09,246.86,248.45,244.6,247.93,247.93,840676,840676,1.07,0.43344,246.96,"April 09, 24",0.0043344
2024-04-08,244.76,247.15,244.39,245.89,245.89,1273523,1273523,1.13,0.46168,245.5475,"April 08, 24",0.0046168
2024-04-05,246,248.28,244.07,244.74,244.74,1330014,1330014,-1.26,-0.5122,245.7725,"April 05, 24",-0.005122
2024-04-04,248.54,252.68,243.73,244.81,244.81,1437758,1437758,-3.73,-1.5,247.44,"April 04, 24",-0.015
2024-04-03,247.59,250.85,245.5,246.38,246.38,1326077,1326077,-1.21,-0.48871,247.58,"April 03, 24",-0.0048871
2024-04-02,249.55,252.76,247.19,248.71,248.71,1692080,1692080,-0.84,-0.33661,249.5525,"April 02, 24",-0.0033661
2024-04-01,259.9,260.75,256.39,259.44,259.44,791578,791578,-0.46,-0.17699,259.12,"April 01, 24",-0.0017699
2024-03-28,261.31,262.95,259.74,260.42,260.42,896092,896092,-0.89,-0.34059,261.105,"March 28, 24",-0.0034059
2024-03-27,260.59,262.3,258.03,260.97,260.97,992342,992342,0.38,0.14582,260.4725,"March 27, 24",0.0014582
2024-03-26,262.02,264.63,261.51,261.67,261.67,939860,939860,-0.35,-0.13358,262.4575,"March 26, 24",-0.0013358
2024-03-25,260.59,262.82,258.33,261.57,261.57,1076582,1076582,0.98,0.37607,260.8275,"March 25, 24",0.0037607
2024-03-22,265.11,267.04,262.73,262.86,262.86,893034,893034,-2.25,-0.8487,264.435,"March 22, 24",-0.008487
2024-03-21,265,268.9,263.9,265.75,265.75,1693437,1693437,0.75,0.28302,265.8875,"March 21, 24",0.0028302
2024-03-20,257.35,262.83,256.73,262.43,262.43,1260051,1260051,5.08,1.97,259.835,"March 20, 24",0.0197
2024-03-19,253.05,257.24,251.37,256.19,256.19,857664,857664,3.14,1.24,254.4625,"March 19, 24",0.0124
2024-03-18,256.18,259.48,254.9,255.18,255.18,906396,906396,-1,-0.39035,256.435,"March 18, 24",-0.0039035
2024-03-15,256.66,258.04,253.13,254.24,254.24,3010936,3010936,-2.42,-0.94288,255.5175,"March 15, 24",-0.0094288
2024-03-14,258.56,259.47,254.38,258.53,258.53,1227778,1227778,-0.03,-0.01160272,257.735,"March 14, 24",-0.0001160272
2024-03-13,262.91,264.08,258.51,258.7,258.7,1134330,1134330,-4.21,-1.6,261.05,"March 13, 24",-0.016
2024-03-12,258.85,264.09,258.39,262.78,262.78,1437911,1437911,3.93,1.52,261.0275,"March 12, 24",0.0152
2024-03-11,252.31,259.11,251.38,258.26,258.26,1469357,1469357,5.95,2.36,255.265,"March 11, 24",0.0236
2024-03-08,253.77,256.03,251.69,251.86,251.86,881719,881719,-1.91,-0.75265,253.3375,"March 08, 24",-0.0075265
2024-03-07,252.89,256.09,250.89,253.84,253.84,1381047,1381047,0.95,0.37566,253.4275,"March 07, 24",0.0037566
2024-03-06,248.15,252.23,248.15,251.1,251.1,1008050,1008050,2.95,1.19,249.9075,"March 06, 24",0.0119
2024-03-05,257.35,257.51,246.17,247.29,247.29,1850322,1850322,-10.06,-3.91,252.08,"March 05, 24",-0.0391
2024-03-04,263.01,263.85,259.66,260.7,260.7,1945028,1945028,-2.31,-0.87829,261.805,"March 04, 24",-0.0087829
2024-03-01,275,279.53,258.6,264.74,264.74,3854244,3854244,-10.26,-3.73,269.4675,"March 01, 24",-0.0373
2024-02-29,256.35,258.99,255,258.17,258.17,3331660,3331660,1.82,0.70997,257.1275,"February 29, 24",0.0070997
2024-02-28,254.8,258.84,254.66,255.25,255.25,1702995,1702995,0.45,0.17661,255.8875,"February 28, 24",0.0017661
2024-02-27,258.5,258.6,255.96,256.95,256.95,951007,951007,-1.55,-0.59961,257.5025,"February 27, 24",-0.0059961
2024-02-26,257.84,259.14,256.14,257.35,257.35,987824,987824,-0.49,-0.19004,257.6175,"February 26, 24",-0.0019004
2024-02-23,259.25,260,256.85,257.2,257.2,821491,821491,-2.05,-0.79074,258.325,"February 23, 24",-0.0079074
2024-02-22,258.65,260.33,255.77,256.98,256.98,1077877,1077877,-1.67,-0.64566,257.9325,"February 22, 24",-0.0064566
2024-02-21,252,252.68,249.13,252.52,252.52,742306,742306,0.52,0.20635,251.5825,"February 21, 24",0.0020635
2024-02-20,256.33,256.7,251.66,255.26,255.26,1277518,1277518,-1.07,-0.41743,254.9875,"February 20, 24",-0.0041743
2024-02-16,261,261.44,257.2,258.3,258.3,1369454,1369454,-2.7,-1.03,259.485,"February 16, 24",-0.0103
2024-02-15,264.74,264.94,259.59,261.25,261.25,724512,724512,-3.49,-1.32,262.63,"February 15, 24",-0.0132
2024-02-14,259.41,263.03,259.13,262.17,262.17,925541,925541,2.76,1.06,260.935,"February 14, 24",0.0106
2024-02-13,254.14,258.73,252.75,256.76,256.76,1341584,1341584,2.62,1.03,255.595,"February 13, 24",0.0103
2024-02-12,265.91,267.31,261.51,262.04,262.04,1055527,1055527,-3.87,-1.46,264.1925,"February 12, 24",-0.0146
2024-02-09,262.85,269.53,262.85,266.68,266.68,1828625,1828625,3.83,1.46,265.4775,"February 09, 24",0.0146
2024-02-08,258.08,262.92,258.02,261.51,261.51,771127,771127,3.43,1.33,260.1325,"February 08, 24",0.0133
2024-02-07,256.81,261,255.19,258.43,258.43,1125207,1125207,1.62,0.63082,257.8575,"February 07, 24",0.0063082
2024-02-06,254.07,254.91,252.7,253.98,253.98,865174,865174,-0.09,-0.03542331,253.915,"February 06, 24",-0.0003542331
2024-02-05,255.84,256.42,251.74,252.81,252.81,1336118,1336118,-3.03,-1.18,254.2025,"February 05, 24",-0.0118
2024-02-02,254.5,259.25,254.05,256.45,256.45,1592890,1592890,1.95,0.76621,256.0625,"February 02, 24",0.0076621
2024-02-01,253.48,255.77,251.37,255.07,255.07,1214059,1214059,1.59,0.62727,253.9225,"February 01, 24",0.0062727
2024-01-31,255.02,256.93,251.73,253.81,253.81,2017382,2017382,-1.21,-0.47447,254.3725,"January 31, 24",-0.0047447
2024-01-30,255.63,257.56,255.04,256.47,256.47,1204411,1204411,0.84,0.3286,256.175,"January 30, 24",0.003286
2024-01-29,253.05,257.63,252.69,257.23,257.23,937343,937343,4.18,1.65,255.15,"January 29, 24",0.0165
2024-01-26,252.4,254.29,250.86,253.07,253.07,940236,940236,0.67,0.26545,252.655,"January 26, 24",0.0026545
2024-01-25,255.62,255.8,250.53,251.75,251.75,1116062,1116062,-3.87,-1.51,253.425,"January 25, 24",-0.0151
2024-01-24,255,256.48,252.5,252.66,252.66,1174455,1174455,-2.34,-0.91765,254.16,"January 24, 24",-0.0091765
2024-01-23,251.18,253.24,249.31,252.78,252.78,1030074,1030074,1.6,0.63699,251.6275,"January 23, 24",0.0063699
2024-01-22,250,252.81,249.81,250.79,250.79,1441025,1441025,0.79,0.316,250.8525,"January 22, 24",0.00316
