date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,10.4,10.4,10.22,10.27,10.27,6610225,6610225,-0.13,-1.25,10.3225,"May 17, 24",-0.0125
2024-05-16,10.34,10.39,10.28,10.36,10.36,7118833,7118833,0.02,0.19342,10.3425,"May 16, 24",0.0019342
2024-05-15,10.49,10.49,10.27,10.34,10.34,8718040,8718040,-0.15,-1.43,10.3975,"May 15, 24",-0.0143
2024-05-14,10.44,10.46,10.36,10.43,10.43,5657768,5657768,-0.01,-0.09578544,10.4225,"May 14, 24",-0.0009578544
2024-05-13,10.4,10.51,10.35,10.37,10.37,6949758,6949758,-0.03,-0.28846,10.4075,"May 13, 24",-0.0028846
2024-05-10,10.35,10.41,10.33,10.36,10.36,5722870,5722870,0.01,0.09661836,10.3625,"May 10, 24",0.0009661836
2024-05-09,10.19,10.32,10.15,10.32,10.32,6239600,6239600,0.13,1.28,10.245,"May 09, 24",0.0128
2024-05-08,10.08,10.24,10.06,10.22,10.22,8175081,8175081,0.14,1.39,10.15,"May 08, 24",0.0139
2024-05-07,10.13,10.18,10.08,10.12,10.12,7155609,7155609,-0.01,-0.09871668,10.1275,"May 07, 24",-0.0009871668
2024-05-06,10.06,10.11,9.97,10.09,10.09,6321318,6321318,0.03,0.29821,10.0575,"May 06, 24",0.0029821
2024-05-03,9.99,10.02,9.87,10.01,10.01,6768977,6768977,0.02,0.2002,9.9725,"May 03, 24",0.002002
2024-05-02,9.97,10.02,9.78,9.87,9.87,11725145,11725145,-0.1,-1,9.91,"May 02, 24",-0.01
2024-05-01,9.56,9.96,9.3,9.8,9.8,25830875,25830875,0.24,2.51,9.655,"May 01, 24",0.0251
2024-04-30,8.96,9.06,8.9,8.94,8.94,15707392,15707392,-0.02,-0.22321,8.965,"April 30, 24",-0.0022321
2024-04-29,9.02,9.17,8.99,9.05,9.05,8466422,8466422,0.03,0.33259,9.0575,"April 29, 24",0.0033259
2024-04-26,8.99,9.08,8.96,8.97,8.97,5732955,5732955,-0.02,-0.22247,9,"April 26, 24",-0.0022247
2024-04-25,9.02,9.1,8.93,8.95,8.95,5408579,5408579,-0.07,-0.77605,9,"April 25, 24",-0.0077605
2024-04-24,8.96,9.06,8.92,9.06,9.06,5802343,5802343,0.1,1.12,9,"April 24, 24",0.0112
2024-04-23,9.01,9.06,8.93,8.98,8.98,5615908,5615908,-0.03,-0.33296,8.995,"April 23, 24",-0.0033296
2024-04-22,8.99,9.08,8.92,9.03,9.03,5365094,5365094,0.04,0.44494,9.005,"April 22, 24",0.0044494
2024-04-19,8.89,9.03,8.89,8.97,8.97,6437623,6437623,0.08,0.89989,8.945,"April 19, 24",0.0089989
2024-04-18,8.86,8.91,8.82,8.9,8.9,5832130,5832130,0.04,0.45147,8.8725,"April 18, 24",0.0045147
2024-04-17,8.9,8.93,8.82,8.83,8.83,4731512,4731512,-0.07,-0.78652,8.87,"April 17, 24",-0.0078652
2024-04-16,8.91,8.94,8.8,8.83,8.83,6824359,6824359,-0.08,-0.89787,8.87,"April 16, 24",-0.0089787
2024-04-15,9.02,9.08,8.91,8.94,8.94,7748989,7748989,-0.08,-0.88692,8.9875,"April 15, 24",-0.0088692
2024-04-12,9.01,9.07,8.9,8.91,8.91,6052969,6052969,-0.1,-1.11,8.9725,"April 12, 24",-0.0111
2024-04-11,9.13,9.18,9.06,9.07,9.07,5084866,5084866,-0.06,-0.65717,9.11,"April 11, 24",-0.0065717
2024-04-10,9.21,9.27,9.06,9.11,9.11,7604156,7604156,-0.1,-1.09,9.1625,"April 10, 24",-0.0109
2024-04-09,9.22,9.38,9.16,9.38,9.38,6915388,6915388,0.16,1.74,9.285,"April 09, 24",0.0174
2024-04-08,9.25,9.26,9.13,9.15,9.15,6572063,6572063,-0.1,-1.08,9.1975,"April 08, 24",-0.0108
2024-04-05,9.14,9.22,9.09,9.21,9.21,4010920,4010920,0.07,0.76586,9.165,"April 05, 24",0.0076586
2024-04-04,9.25,9.39,9.14,9.17,9.17,9661436,9661436,-0.08,-0.86486,9.2375,"April 04, 24",-0.0086486
2024-04-03,9.27,9.3,9.16,9.18,9.18,8951443,8951443,-0.09,-0.97087,9.2275,"April 03, 24",-0.0097087
2024-04-02,9.38,9.4,9.23,9.31,9.31,7069752,7069752,-0.07,-0.74627,9.33,"April 02, 24",-0.0074627
2024-04-01,9.55,9.56,9.4,9.45,9.45,5219811,5219811,-0.1,-1.05,9.49,"April 01, 24",-0.0105
2024-03-28,9.49,9.56,9.48,9.51,9.51,6440882,6440882,0.02,0.21075,9.51,"March 28, 24",0.0021075
2024-03-27,9.22,9.48,9.21,9.48,9.48,8291965,8291965,0.26,2.82,9.3475,"March 27, 24",0.0282
2024-03-26,9.3,9.32,9.19,9.19,9.19,6211324,6211324,-0.11,-1.18,9.25,"March 26, 24",-0.0118
2024-03-25,9.14,9.33,9.14,9.29,9.29,5674973,5674973,0.15,1.64,9.225,"March 25, 24",0.0164
2024-03-22,9.29,9.34,9.22,9.23,9.23,5787798,5787798,-0.06,-0.64586,9.27,"March 22, 24",-0.0064586
2024-03-21,9.22,9.3,9.17,9.28,9.28,4727612,4727612,0.06,0.65076,9.2425,"March 21, 24",0.0065076
2024-03-20,9.13,9.37,9.03,9.15,9.15,10119539,10119539,0.02,0.21906,9.17,"March 20, 24",0.0021906
2024-03-19,9.42,9.51,9.37,9.38,9.38,7060837,7060837,-0.04,-0.42463,9.42,"March 19, 24",-0.0042463
2024-03-18,9.46,9.55,9.42,9.42,9.42,7358902,7358902,-0.04,-0.42283,9.4625,"March 18, 24",-0.0042283
2024-03-15,9.36,9.51,9.36,9.48,9.48,28516287,28516287,0.12,1.28,9.4275,"March 15, 24",0.0128
