date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,161.25,161.51,153.64,157.69,157.69,50436691,50436691,-3.56,-2.21,158.5225,"July 01, 24",-0.0221
2024-06-28,160.23,166.45,159.41,162.21,162.21,56204617,56204617,1.98,1.24,162.075,"June 28, 24",0.0124
2024-06-27,157.18,160.61,156.81,159.47,159.47,34018216,34018216,2.29,1.46,158.5175,"June 27, 24",0.0146
2024-06-26,160.6,160.74,156.0,157.54,157.54,36973440,36973440,-3.06,-1.91,158.72,"June 26, 24",-0.0191
2024-06-25,160.73,161.0,156.45,160.25,160.25,40975277,40975277,-0.48,-0.29864,159.6075,"June 25, 24",-0.0029864
2024-06-24,159.75,163.4,158.19,160.25,160.25,45954054,45954054,0.5,0.31299,160.3975,"June 24, 24",0.0031299
2024-06-21,161.75,163.2,157.89,161.23,161.23,61334699,61334699,-0.52,-0.32148,161.0175,"June 21, 24",-0.0032148
2024-06-20,155.82,166.82,155.5,161.78,161.78,93245732,93245732,5.96,3.82,159.98,"June 20, 24",0.0382
2024-06-18,156.99,157.24,153.34,154.63,154.63,51852033,51852033,-2.36,-1.5,155.55,"June 18, 24",-0.015
2024-06-17,158.0,159.23,154.14,158.4,158.4,44507742,44507742,0.4,0.25316,157.4425,"June 17, 24",0.0025316
2024-06-14,158.5,161.34,157.61,159.63,159.63,34054023,34054023,1.13,0.71293,159.27,"June 14, 24",0.0071293
2024-06-13,160.4,162.66,157.31,159.9,159.9,44442511,44442511,-0.5,-0.31172,160.0675,"June 13, 24",-0.0031172
2024-06-12,160.32,162.24,158.62,160.24,160.24,48325813,48325813,-0.08,-0.0499002,160.355,"June 12, 24",-0.000499002
2024-06-11,160.5,161.54,156.92,158.96,158.96,40497092,40497092,-1.54,-0.9595,159.48,"June 11, 24",-0.009595
2024-06-10,162.48,165.55,159.61,160.34,160.34,67575627,67575627,-2.14,-1.32,161.995,"June 10, 24",-0.0132
2024-06-07,166.59,169.45,165.86,167.87,167.87,44795998,44795998,1.28,0.76835,167.4425,"June 07, 24",0.0076835
2024-06-06,165.46,169.51,163.86,166.78,166.78,47153676,47153676,1.32,0.79778,166.4025,"June 06, 24",0.0079778
2024-06-05,162.07,167.12,161.38,166.17,166.17,60507494,60507494,4.1,2.53,164.185,"June 05, 24",0.0253
2024-06-04,162.84,164.83,158.87,159.99,159.99,48157209,48157209,-2.85,-1.75,161.6325,"June 04, 24",-0.0175
2024-06-03,170.82,171.08,160.91,163.55,163.55,59157590,59157590,-7.27,-4.26,166.59,"June 03, 24",-0.0426
2024-05-31,166.65,169.5,160.07,166.9,166.9,64331946,64331946,0.25,0.15002,165.78,"May 31, 24",0.0015002
2024-05-30,167.9,168.75,163.8,166.75,166.75,46479934,46479934,-1.15,-0.68493,166.8,"May 30, 24",-0.0068493
2024-05-29,167.46,168.48,162.91,165.14,165.14,56537503,56537503,-2.32,-1.39,165.9975,"May 29, 24",-0.0139
2024-05-28,169.42,174.55,164.96,171.61,171.61,66495414,66495414,2.19,1.29,170.135,"May 28, 24",0.0129
2024-05-24,161.41,167.66,160.25,166.36,166.36,54868646,54868646,4.95,3.07,163.92,"May 24, 24",0.0307
2024-05-23,170.18,173.14,158.27,160.43,160.43,91888841,91888841,-9.75,-5.73,165.505,"May 23, 24",-0.0573
