date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,168.33,168.33,166.27,166.8,166.8,1648615,1648615,-1.53,-0.90893,167.4325,"May 17, 24",-0.0090893
2024-05-16,169.2,170.08,167.82,167.91,167.91,978244,978244,-1.29,-0.76241,168.7525,"May 16, 24",-0.0076241
2024-05-15,169.53,170.98,169.21,169.63,169.63,1137072,1137072,0.1,0.05898661,169.8375,"May 15, 24",0.0005898661
2024-05-14,170,170.95,168.3,168.53,168.53,1400220,1400220,-1.47,-0.86471,169.445,"May 14, 24",-0.0086471
2024-05-13,171.26,171.56,169.8,170.1,170.1,826734,826734,-1.16,-0.67733,170.68,"May 13, 24",-0.0067733
2024-05-10,171.01,171.57,170.39,170.8,170.8,1193660,1193660,-0.21,-0.1228,170.9425,"May 10, 24",-0.001228
2024-05-09,169.28,171.27,168.86,169.9,169.9,1266278,1266278,0.62,0.36626,169.8275,"May 09, 24",0.0036626
2024-05-08,169.19,169.84,168.3,169.14,169.14,988200,988200,-0.05,-0.02955257,169.1175,"May 08, 24",-0.0002955257
2024-05-07,168.21,169.91,168.21,169.58,169.58,1008450,1008450,1.37,0.81446,168.9775,"May 07, 24",0.0081446
2024-05-06,167,169.23,166.92,168.05,168.05,1468645,1468645,1.05,0.62874,167.8,"May 06, 24",0.0062874
2024-05-03,163.7,166.88,162.78,166.56,166.56,2065100,2065100,2.86,1.75,164.98,"May 03, 24",0.0175
2024-05-02,170,171.13,161.96,163.34,163.34,2896067,2896067,-6.66,-3.92,166.6075,"May 02, 24",-0.0392
2024-05-01,174.22,176.22,173.56,173.98,173.98,1267970,1267970,-0.24,-0.13776,174.495,"May 01, 24",-0.0013776
2024-04-30,177.69,178.08,174.38,174.66,174.66,1138334,1138334,-3.03,-1.71,176.2025,"April 30, 24",-0.0171
2024-04-29,177.81,178.46,176.88,177.69,177.69,701507,701507,-0.12,-0.06748777,177.71,"April 29, 24",-0.0006748777
2024-04-26,178.16,179.01,177.45,177.51,177.51,637924,637924,-0.65,-0.36484,178.0325,"April 26, 24",-0.0036484
2024-04-25,177.13,178.78,176.37,177.93,177.93,998698,998698,0.8,0.45165,177.5525,"April 25, 24",0.0045165
2024-04-24,180.68,181.14,177.04,178.22,178.22,867347,867347,-2.46,-1.36,179.27,"April 24, 24",-0.0136
2024-04-23,179.1,180.41,178.58,179.85,179.85,600975,600975,0.75,0.41876,179.485,"April 23, 24",0.0041876
2024-04-22,178.52,179.33,177.22,177.86,177.86,642997,642997,-0.66,-0.36971,178.2325,"April 22, 24",-0.0036971
2024-04-19,178.14,178.73,176.77,177.7,177.7,806643,806643,-0.44,-0.247,177.835,"April 19, 24",-0.00247
2024-04-18,179.21,179.6,176.71,177.27,177.27,629044,629044,-1.94,-1.08,178.1975,"April 18, 24",-0.0108
2024-04-17,179.45,180.03,177.24,178.05,178.05,900870,900870,-1.4,-0.78016,178.6925,"April 17, 24",-0.0078016
2024-04-16,178.83,180.54,178,179.09,179.09,896166,896166,0.26,0.14539,179.115,"April 16, 24",0.0014539
2024-04-15,182.34,182.81,178.55,179.04,179.04,919413,919413,-3.3,-1.81,180.685,"April 15, 24",-0.0181
2024-04-12,178.63,180.11,178.12,179.71,179.71,826319,826319,1.08,0.6046,179.1425,"April 12, 24",0.006046
2024-04-11,179.97,181.35,178.59,180.5,180.5,845037,845037,0.53,0.29449,180.1025,"April 11, 24",0.0029449
2024-04-10,178.96,181.69,178.04,179.75,179.75,1376022,1376022,0.79,0.44144,179.61,"April 10, 24",0.0044144
2024-04-09,181.2,181.56,178.82,181.18,181.18,749050,749050,-0.02,-0.01103753,180.69,"April 09, 24",-0.0001103753
2024-04-08,182.36,182.99,180.75,180.92,180.92,659792,659792,-1.44,-0.78965,181.755,"April 08, 24",-0.0078965
2024-04-05,180.64,182.66,179.79,182.22,182.22,763735,763735,1.58,0.87467,181.3275,"April 05, 24",0.0087467
2024-04-04,182.36,182.85,179,179.34,179.34,845493,845493,-3.02,-1.66,180.8875,"April 04, 24",-0.0166
2024-04-03,180.38,182.5,180.38,181.11,181.11,739596,739596,0.73,0.4047,181.0925,"April 03, 24",0.004047
2024-04-02,180.73,181.52,179.79,180.37,180.37,921880,921880,-0.36,-0.19919,180.6025,"April 02, 24",-0.0019919
2024-04-01,182.99,183,180.31,180.46,180.46,772505,772505,-2.53,-1.38,181.69,"April 01, 24",-0.0138
2024-03-28,183.51,183.89,182.56,182.9,182.9,1043545,1043545,-0.61,-0.33241,183.215,"March 28, 24",-0.0033241
2024-03-27,182.17,184.22,181.79,183.72,183.72,670828,670828,1.55,0.85085,182.975,"March 27, 24",0.0085085
2024-03-26,182,183.25,181.53,181.67,181.67,752368,752368,-0.33,-0.18132,182.1125,"March 26, 24",-0.0018132
