date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,971.8,972.8,947.3,954.3,954.3,349534,349534,-17.5,-1.8,961.55,"July 01, 24",-0.018
2024-06-28,969.4,979.9,960.8,964.2,964.2,507661,507661,-5.2,-0.53641,968.575,"June 28, 24",-0.0053641
2024-06-27,951.0,971.4,950.2,960.0,960.0,341799,341799,9.0,0.94637,958.15,"June 27, 24",0.0094637
2024-06-26,958.9,964.1,942.6,946.6,946.6,419672,419672,-12.3,-1.28,953.05,"June 26, 24",-0.0128
2024-06-25,930.0,951.1,921.1,950.2,950.2,455077,455077,20.2,2.17,938.1,"June 25, 24",0.0217
2024-06-24,963.0,967.4,942.1,948.5,948.5,504340,504340,-14.5,-1.51,955.25,"June 24, 24",-0.0151
2024-06-21,983.4,984.0,957.0,963.4,963.4,1168876,1168876,-20.0,-2.03,971.95,"June 21, 24",-0.0203
2024-06-20,972.5,989.3,971.2,988.9,988.9,521044,521044,16.4,1.69,980.475,"June 20, 24",0.0169
2024-06-19,981.8,985.7,965.4,966.5,966.5,314222,314222,-15.3,-1.56,974.85,"June 19, 24",-0.0156
2024-06-18,977.8,985.3,969.0,983.8,983.8,483986,483986,6.0,0.61362,978.975,"June 18, 24",0.0061362
2024-06-17,964.4,980.2,961.8,969.4,969.4,452520,452520,5.0,0.51846,968.95,"June 17, 24",0.0051846
2024-06-14,977.7,981.3,950.7,953.0,953.0,698205,698205,-24.7,-2.53,965.675,"June 14, 24",-0.0253
2024-06-13,982.9,992.8,965.0,966.5,966.5,572537,572537,-16.4,-1.67,976.8,"June 13, 24",-0.0167
2024-06-12,961.9,993.6,958.55,985.6,985.6,490161,490161,23.7,2.46,974.9125,"June 12, 24",0.0246
2024-06-11,966.3,969.6,950.8,959.2,959.2,432167,432167,-7.1,-0.73476,961.475,"June 11, 24",-0.0073476
2024-06-10,958.0,963.9,942.4,963.4,963.4,444357,444357,5.4,0.56367,956.925,"June 10, 24",0.0056367
2024-06-07,963.7,970.3,950.2,958.9,958.9,458224,458224,-4.8,-0.49808,960.775,"June 07, 24",-0.0049808
2024-06-06,965.1,972.0,948.7,957.5,957.5,610760,610760,-7.6,-0.78748,960.825,"June 06, 24",-0.0078748
2024-06-05,883.0,944.1,878.5,943.6,943.6,792315,792315,60.6,6.86,912.3,"June 05, 24",0.0686
2024-06-04,884.9,887.1,872.8,872.9,872.9,328135,328135,-12.0,-1.36,879.425,"June 04, 24",-0.0136
2024-06-03,885.0,896.5,874.9,880.5,880.5,359176,359176,-4.5,-0.50847,884.225,"June 03, 24",-0.0050847
2024-05-31,884.0,901.9,870.0,870.8,870.8,1325837,1325837,-13.2,-1.49,881.675,"May 31, 24",-0.0149
2024-05-30,883.4,889.7,877.9,881.0,881.0,277618,277618,-2.4,-0.27168,883.0,"May 30, 24",-0.0027168
2024-05-29,903.1,905.6,882.1,888.5,888.5,469059,469059,-14.6,-1.62,894.825,"May 29, 24",-0.0162
2024-05-28,886.2,898.4,884.3,896.0,896.0,399600,399600,9.8,1.11,891.225,"May 28, 24",0.0111
2024-05-27,882.3,884.0,874.9,882.6,882.6,168545,168545,0.29999,0.03400204,880.95,"May 27, 24",0.0003400204
2024-05-24,866.0,881.9,860.5,880.5,880.5,393663,393663,14.5,1.67,872.225,"May 24, 24",0.0167
2024-05-23,868.2,892.2,868.0,876.4,876.4,574762,574762,8.2,0.94448,876.2,"May 23, 24",0.0094448
2024-05-22,857.0,861.8,852.0,854.1,854.1,270000,270000,-2.9,-0.33839,856.225,"May 22, 24",-0.0033839
2024-05-21,864.3,864.3,843.3,853.7,853.7,327438,327438,-10.6,-1.23,856.4,"May 21, 24",-0.0123
2024-05-20,849.7,864.7,846.5,864.7,864.7,209691,209691,15.0,1.77,856.4,"May 20, 24",0.0177
2024-05-17,846.1,856.7,842.5,853.0,853.0,492332,492332,6.9,0.81551,849.575,"May 17, 24",0.0081551
2024-05-16,864.0,866.6,858.9,859.1,859.1,387981,387981,-4.9,-0.56713,862.15,"May 16, 24",-0.0056713
2024-05-15,847.5,852.7,840.2,851.0,851.0,386501,386501,3.5,0.41298,847.85,"May 15, 24",0.0041298
2024-05-14,853.1,853.4,837.2,840.7,840.7,407049,407049,-12.4,-1.45,846.1,"May 14, 24",-0.0145
2024-05-13,869.6,870.2,846.8,853.0,853.0,327567,327567,-16.6,-1.91,859.9,"May 13, 24",-0.0191
2024-05-10,850.9,870.8,848.5,864.5,864.5,433877,433877,13.6,1.6,858.675,"May 10, 24",0.016
2024-05-09,846.1,852.5,843.8,847.9,847.9,331311,331311,1.8,0.21274,847.575,"May 09, 24",0.0021274
2024-05-08,847.0,853.5,840.2,845.0,845.0,368284,368284,-2.0,-0.23613,846.425,"May 08, 24",-0.0023613
2024-05-07,851.3,859.7,843.6,854.2,854.2,417265,417265,2.9,0.34066,852.2,"May 07, 24",0.0034066
2024-05-06,841.0,847.7,832.6,846.6,846.6,210766,210766,5.6,0.66587,841.975,"May 06, 24",0.0066587
2024-05-03,817.0,836.8,815.8,835.9,835.9,434464,434464,18.9,2.31,826.375,"May 03, 24",0.0231
2024-05-02,807.8,822.6,804.0,811.4,811.4,624535,624535,3.6,0.44565,811.45,"May 02, 24",0.0044565
2024-04-30,850.9,852.3,832.6,832.7,832.7,510511,510511,-18.2,-2.14,842.125,"April 30, 24",-0.0214
2024-04-29,859.0,859.8,842.8,847.7,847.7,326342,326342,-11.3,-1.32,852.325,"April 29, 24",-0.0132
2024-04-26,845.0,862.5,841.8,858.8,858.8,498526,498526,13.8,1.63,852.025,"April 26, 24",0.0163
2024-04-25,829.3,840.3,815.2,833.7,831.95,515076,515076,4.4,0.53057,829.625,"April 25, 24",0.0053057
2024-04-24,860.0,860.0,833.1,834.8,833.05,477145,477145,-25.2,-2.93,846.975,"April 24, 24",-0.0293
2024-04-23,823.2,836.0,820.3,834.3,832.55,389817,389817,11.1,1.35,828.45,"April 23, 24",0.0135
2024-04-22,821.0,825.6,810.0,813.2,811.49,526653,526653,-7.8,-0.95006,817.45,"April 22, 24",-0.0095006
2024-04-19,830.5,841.3,818.2,821.0,819.28,834780,834780,-9.5,-1.14,827.75,"April 19, 24",-0.0114
2024-04-18,870.0,871.5,832.2,840.3,838.54,762238,762238,-29.7,-3.41,853.5,"April 18, 24",-0.0341
2024-04-17,858.6,891.1,845.5,852.4,850.61,1271289,1271289,-6.2,-0.72211,861.9,"April 17, 24",-0.0072211
2024-04-16,898.6,914.3,891.0,913.4,911.48,527766,527766,14.8,1.65,904.325,"April 16, 24",0.0165
2024-04-15,914.6,930.8,907.2,910.9,908.99,606551,606551,-3.7,-0.40455,915.875,"April 15, 24",-0.0040455
2024-04-12,925.0,934.4,899.8,907.5,905.6,509980,509980,-17.5,-1.89,916.675,"April 12, 24",-0.0189
2024-04-11,906.5,918.4,898.3,909.1,907.19,366552,366552,2.6,0.28682,908.075,"April 11, 24",0.0028682
2024-04-10,913.4,918.4,888.1,913.3,911.38,437885,437885,-0.10003,-0.01094811,908.3,"April 10, 24",-0.0001094811
2024-04-09,913.7,919.4,892.8,899.3,897.41,383216,383216,-14.4,-1.58,906.3,"April 09, 24",-0.0158
2024-04-08,899.1,918.0,899.0,913.7,911.78,307245,307245,14.6,1.62,907.45,"April 08, 24",0.0162
2024-04-05,887.0,910.7,884.3,905.7,903.8,475214,475214,18.7,2.11,896.925,"April 05, 24",0.0211
2024-04-04,908.0,916.7,898.1,901.3,899.41,413590,413590,-6.7,-0.73789,906.025,"April 04, 24",-0.0073789
2024-04-03,894.7,905.0,889.6,905.0,903.1,389366,389366,10.3,1.15,898.575,"April 03, 24",0.0115
2024-04-02,917.8,918.9,890.4,890.7,888.83,590869,590869,-27.1,-2.95,904.45,"April 02, 24",-0.0295
2024-03-28,898.1,902.9,890.3,892.2,890.33,532794,532794,-5.9,-0.65694,895.875,"March 28, 24",-0.0065694
2024-03-27,900.5,905.6,891.1,895.2,893.32,381771,381771,-5.3,-0.58856,898.1,"March 27, 24",-0.0058856
2024-03-26,906.8,914.5,900.4,900.4,898.51,437821,437821,-6.4,-0.70578,905.525,"March 26, 24",-0.0070578
2024-03-25,905.9,915.6,901.2,913.0,911.08,358516,358516,7.1,0.78375,908.925,"March 25, 24",0.0078375
2024-03-22,912.5,914.3,891.1,906.1,904.2,471160,471160,-6.4,-0.70137,906.0,"March 22, 24",-0.0070137
2024-03-21,911.0,923.8,906.5,923.3,921.36,657108,657108,12.3,1.35,916.15,"March 21, 24",0.0135
2024-03-20,876.0,888.9,868.4,874.5,872.66,336510,336510,-1.5,-0.17123,876.95,"March 20, 24",-0.0017123
2024-03-19,865.0,870.7,855.1,869.6,867.77,362603,362603,4.6,0.53179,865.1,"March 19, 24",0.0053179
2024-03-18,868.0,880.0,861.5,870.8,868.97,474446,474446,2.8,0.32258,870.075,"March 18, 24",0.0032258
2024-03-15,880.2,882.7,857.7,857.7,855.9,2713321,2713321,-22.5,-2.56,869.575,"March 15, 24",-0.0256
2024-03-14,887.1,890.4,877.2,881.0,879.15,587839,587839,-6.1,-0.68763,883.925,"March 14, 24",-0.0068763
2024-03-13,902.2,905.5,878.2,878.9,877.06,534861,534861,-23.3,-2.58,891.2,"March 13, 24",-0.0258
2024-03-12,885.4,894.3,871.8,892.3,890.43,600454,600454,6.9,0.77931,885.95,"March 12, 24",0.0077931
2024-03-11,900.0,911.4,880.0,884.5,882.64,713102,713102,-15.5,-1.72,893.975,"March 11, 24",-0.0172
2024-03-08,954.5,958.4,923.4,923.4,921.46,576094,576094,-31.1,-3.26,939.925,"March 08, 24",-0.0326
2024-03-07,915.0,949.6,908.6,949.2,947.21,602723,602723,34.2,3.74,930.6,"March 07, 24",0.0374
2024-03-06,903.0,914.6,898.5,912.2,910.29,481039,481039,9.2,1.02,907.075,"March 06, 24",0.0102
2024-03-05,911.0,916.6,894.0,899.5,897.61,480872,480872,-11.5,-1.26,905.275,"March 05, 24",-0.0126
2024-03-04,910.0,918.8,905.4,913.2,911.28,524208,524208,3.2,0.35165,911.85,"March 04, 24",0.0035165
2024-03-01,881.0,894.4,873.4,894.0,892.12,456792,456792,13.0,1.48,885.7,"March 01, 24",0.0148
2024-02-29,871.4,873.7,858.1,870.5,868.67,729779,729779,-0.90002,-0.10328,868.425,"February 29, 24",-0.0010328
2024-02-28,871.0,877.0,863.4,869.4,867.58,357552,357552,-1.6,-0.1837,870.2,"February 28, 24",-0.001837
2024-02-27,878.1,885.5,870.5,879.2,877.35,371102,371102,1.1,0.12527,878.325,"February 27, 24",0.0012527
2024-02-26,860.1,872.9,858.6,869.8,867.97,286040,286040,9.7,1.13,865.35,"February 26, 24",0.0113
