date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,60.3,60.56,59.27,59.55,59.55,1507627,1507627,-0.75,-1.24,59.92,"July 01, 24",-0.0124
2024-06-28,61.2,61.5,59.57,60.02,60.02,4820883,4820883,-1.18,-1.93,60.5725,"June 28, 24",-0.0193
2024-06-27,60.51,61.52,60.51,61.08,61.08,1891948,1891948,0.57,0.94199,60.905,"June 27, 24",0.0094199
2024-06-26,61.23,61.78,60.56,60.66,60.66,1418146,1418146,-0.57,-0.93092,61.0575,"June 26, 24",-0.0093092
2024-06-25,61.95,62.6,60.77,61.4,61.4,2406446,2406446,-0.55,-0.88781,61.68,"June 25, 24",-0.0088781
2024-06-24,60.69,61.87,60.3,61.58,61.58,2439647,2439647,0.89,1.47,61.11,"June 24, 24",0.0147
2024-06-21,60.82,61.37,60.29,60.66,60.66,4669041,4669041,-0.16,-0.26307,60.785,"June 21, 24",-0.0026307
2024-06-20,61.91,62.07,59.12,60.43,60.43,7354616,7354616,-1.48,-2.39,60.8825,"June 20, 24",-0.0239
2024-06-18,66.53,66.97,61.88,62.26,62.26,5058794,5058794,-4.27,-6.42,64.41,"June 18, 24",-0.0642
2024-06-17,65.91,66.61,65.91,66.44,66.44,1616702,1616702,0.53,0.80413,66.2175,"June 17, 24",0.0080413
2024-06-14,65.87,66.17,65.21,66.01,66.01,1320262,1320262,0.14,0.21254,65.815,"June 14, 24",0.0021254
2024-06-13,67.02,67.21,65.34,66.22,66.22,1809310,1809310,-0.8,-1.19,66.4475,"June 13, 24",-0.0119
2024-06-12,68.51,68.85,66.85,67.14,67.14,2056372,2056372,-1.37,-2.0,67.8375,"June 12, 24",-0.02
2024-06-11,68.3,68.3,67.5,67.86,67.86,2217704,2217704,-0.44,-0.64422,67.99,"June 11, 24",-0.0064422
2024-06-10,68.09,68.42,67.47,68.4,68.4,1506111,1506111,0.31,0.45528,68.095,"June 10, 24",0.0045528
2024-06-07,69.42,69.72,68.33,68.47,68.47,1533702,1533702,-0.95,-1.37,68.985,"June 07, 24",-0.0137
2024-06-06,69.9,70.07,69.02,69.79,69.79,1404511,1404511,-0.11,-0.15737,69.695,"June 06, 24",-0.0015737
2024-06-05,68.96,70.05,68.68,69.99,69.99,1534622,1534622,1.03,1.49,69.42,"June 05, 24",0.0149
2024-06-04,69.09,69.28,68.38,69.1,69.1,1807779,1807779,0.01,0.01447387,68.9625,"June 04, 24",0.0001447387
2024-06-03,69.03,69.73,68.34,69.66,69.66,1940220,1940220,0.63,0.91265,69.19,"June 03, 24",0.0091265
2024-05-31,68.55,69.52,68.43,69.43,69.23,3792760,3792760,0.88,1.28,68.9825,"May 31, 24",0.0128
2024-05-30,66.6,68.73,66.6,68.66,68.46,1904374,1904374,2.06,3.09,67.6475,"May 30, 24",0.0309
2024-05-29,66.96,67.35,66.45,66.54,66.35,2018334,2018334,-0.42,-0.62724,66.825,"May 29, 24",-0.0062724
2024-05-28,68.83,68.88,67.2,67.46,67.27,1877600,1877600,-1.37,-1.99,68.0925,"May 28, 24",-0.0199
2024-05-24,68.98,69.13,68.01,68.88,68.68,1640199,1640199,-0.1,-0.14497,68.75,"May 24, 24",-0.0014497
2024-05-23,70.05,70.28,68.37,68.56,68.36,1593657,1593657,-1.49,-2.13,69.315,"May 23, 24",-0.0213
2024-05-22,69.62,70.24,69.39,70.12,69.92,1631245,1631245,0.5,0.71818,69.8425,"May 22, 24",0.0071818
2024-05-21,70.09,70.43,69.76,70.31,70.11,1141234,1141234,0.22,0.31388,70.1475,"May 21, 24",0.0031388
2024-05-20,70.07,70.73,69.74,70.09,69.89,1273853,1273853,0.02,0.02854289,70.1575,"May 20, 24",0.0002854289
2024-05-17,70.32,70.54,69.72,70.11,69.91,1111435,1111435,-0.21,-0.29863,70.1725,"May 17, 24",-0.0029863
2024-05-16,70.53,70.8,70.18,70.22,70.02,1538012,1538012,-0.31,-0.43953,70.4325,"May 16, 24",-0.0043953
2024-05-15,70.6,70.97,70.24,70.53,70.33,1677623,1677623,-0.07,-0.09915014,70.585,"May 15, 24",-0.0009915014
2024-05-14,69.71,70.16,69.25,70.03,69.83,1973878,1973878,0.32,0.45904,69.7875,"May 14, 24",0.0045904
2024-05-13,69.52,69.83,69.01,69.27,69.07,1717649,1717649,-0.25,-0.35961,69.4075,"May 13, 24",-0.0035961
2024-05-10,69.78,69.81,68.85,69.16,68.96,1809967,1809967,-0.62,-0.88851,69.4,"May 10, 24",-0.0088851
2024-05-09,70.17,70.46,69.39,69.61,69.41,2017040,2017040,-0.56,-0.79806,69.9075,"May 09, 24",-0.0079806
2024-05-08,68.94,70.11,68.74,69.89,69.69,2062242,2062242,0.95,1.38,69.42,"May 08, 24",0.0138
2024-05-07,69.0,69.66,68.66,69.21,69.01,1768391,1768391,0.21,0.30435,69.1325,"May 07, 24",0.0030435
2024-05-06,68.86,69.59,68.54,68.9,68.7,1929325,1929325,0.04,0.05808888,68.9725,"May 06, 24",0.0005808888
2024-05-03,68.41,68.93,68.17,68.59,68.39,2208429,2208429,0.18,0.26312,68.525,"May 03, 24",0.0026312
2024-05-02,69.0,69.15,67.79,67.99,67.79,2116919,2116919,-1.01,-1.46,68.4825,"May 02, 24",-0.0146
2024-05-01,69.58,69.77,67.92,68.28,68.08,3401114,3401114,-1.3,-1.87,68.8875,"May 01, 24",-0.0187
2024-04-30,70.36,71.32,69.43,69.57,69.37,3500554,3500554,-0.79,-1.12,70.17,"April 30, 24",-0.0112
2024-04-29,70.25,70.82,69.89,70.72,70.52,2588198,2588198,0.47,0.66904,70.42,"April 29, 24",0.0066904
2024-04-26,66.5,70.75,66.38,69.8,69.6,4554059,4554059,3.3,4.96,68.3575,"April 26, 24",0.0496
2024-04-25,65.71,65.81,64.47,65.45,65.26,2233930,2233930,-0.26,-0.39568,65.36,"April 25, 24",-0.0039568
