date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,177.25,179.88,175.64,179.14,179.14,794446,794446,1.89,1.07,177.9775,"May 17, 24",0.0107
2024-05-16,176.51,179.67,175.3,176.08,176.08,890059,890059,-0.425,-0.24361,176.89,"May 16, 24",-0.0024361
2024-05-15,182,182.49,173.18,177.3,177.3,1222125,1222125,-4.7,-2.58,178.7425,"May 15, 24",-0.0258
2024-05-14,180.98,182.62,176.66,178.4,178.4,1174736,1174736,-2.58,-1.43,179.665,"May 14, 24",-0.0143
2024-05-13,188.2,189.3,176.81,180.99,180.99,1751057,1751057,-7.21,-3.83,183.825,"May 13, 24",-0.0383
2024-05-10,202.21,205.25,186.91,188.12,188.12,1873968,1873968,-14.09,-6.97,195.6225,"May 10, 24",-0.0697
2024-05-09,201,208.98,192.22,200.58,200.58,3526623,3526623,-0.42,-0.20896,200.695,"May 09, 24",-0.0020896
2024-05-08,244.55,248,242.3,244.64,244.64,1039215,1039215,0.09,0.03680229,244.8725,"May 08, 24",0.0003680229
2024-05-07,246.19,249.93,243.08,248.84,248.84,830039,830039,2.65,1.08,247.01,"May 07, 24",0.0108
2024-05-06,242.25,251.3,241.16,248.2,248.2,863806,863806,5.95,2.46,245.7275,"May 06, 24",0.0246
2024-05-03,235.55,243.99,234.6,240,240,641002,641002,4.45,1.89,238.535,"May 03, 24",0.0189
2024-05-02,226.55,230.99,218.68,228.89,228.89,589974,589974,2.34,1.03,226.2775,"May 02, 24",0.0103
2024-05-01,223.61,231.92,218.76,223.03,223.03,954956,954956,-0.58,-0.25938,224.33,"May 01, 24",-0.0025938
2024-04-30,225.94,234.21,224.15,225.75,225.75,646119,646119,-0.19,-0.08409312,227.5125,"April 30, 24",-0.0008409312
2024-04-29,224,229.06,218.74,228.94,228.94,475165,475165,4.94,2.21,225.185,"April 29, 24",0.0221
2024-04-26,218.5,227.65,218.49,222.66,222.66,639739,639739,4.16,1.9,221.825,"April 26, 24",0.019
2024-04-25,211.65,217.84,207.53,214.84,214.84,506055,506055,3.19,1.51,212.965,"April 25, 24",0.0151
2024-04-24,223.2,229.84,215.24,216.38,216.38,877331,877331,-6.82,-3.06,221.165,"April 24, 24",-0.0306
2024-04-23,206.1,221.34,206.1,220.53,220.53,860780,860780,14.43,7,213.5175,"April 23, 24",0.07
2024-04-22,201.74,207.05,198.07,205.57,205.57,867622,867622,3.83,1.9,203.1075,"April 22, 24",0.019
2024-04-19,203.99,210.19,196.75,200.15,200.15,6564230,6564230,-3.84,-1.88,202.77,"April 19, 24",-0.0188
2024-04-18,208.88,217.79,204.94,205.06,205.06,2323160,2323160,-3.82,-1.83,209.1675,"April 18, 24",-0.0183
2024-04-17,198.58,200.75,194.36,194.66,194.66,277085,277085,-3.92,-1.97,197.0875,"April 17, 24",-0.0197
