date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,88.55,89.5,88.45,88.9,88.9,205712,205712,0.35,0.39526,88.85,"July 01, 24",0.0039526
2024-06-28,88.9,89.1,85.9,86.5,86.5,249113,249113,-2.4,-2.7,87.6,"June 28, 24",-0.027
2024-06-27,88.85,89.4,88.25,88.65,88.65,251920,251920,-0.2,-0.2251,88.7875,"June 27, 24",-0.002251
2024-06-26,90.7,90.9,88.0,88.75,88.75,231253,231253,-1.95,-2.15,89.5875,"June 26, 24",-0.0215
2024-06-25,89.5,90.75,89.15,90.1,90.1,263698,263698,0.6,0.67039,89.875,"June 25, 24",0.0067039
2024-06-24,90.0,90.15,88.85,90.1,90.1,213536,213536,0.099998,0.11111,89.775,"June 24, 24",0.0011111
2024-06-21,89.95,90.1,89.4,90.0,90.0,395735,395735,0.050003,0.05558644,89.8625,"June 21, 24",0.0005558644
2024-06-20,89.95,90.7,89.95,90.2,90.2,254029,254029,0.25,0.27793,90.2,"June 20, 24",0.0027793
2024-06-19,90.15,90.45,89.8,90.0,90.0,152811,152811,-0.15,-0.16639,90.1,"June 19, 24",-0.0016639
2024-06-18,89.6,90.6,89.35,89.95,89.95,182702,182702,0.35,0.39063,89.875,"June 18, 24",0.0039063
2024-06-17,89.8,89.9,88.25,89.15,89.15,144694,144694,-0.65,-0.72383,89.275,"June 17, 24",-0.0072383
2024-06-14,91.4,91.4,88.4,89.3,89.3,155289,155289,-2.1,-2.3,90.125,"June 14, 24",-0.023
2024-06-13,93.25,93.85,91.1,91.7,91.7,242758,242758,-1.55,-1.66,92.475,"June 13, 24",-0.0166
2024-06-12,92.85,94.1,92.85,93.45,93.45,159321,159321,0.6,0.6462,93.3125,"June 12, 24",0.006462
2024-06-11,92.9,93.9,92.55,92.8,92.8,180765,180765,-0.099999,-0.10764,93.0375,"June 11, 24",-0.0010764
2024-06-10,92.0,93.3,91.75,92.85,92.85,134793,134793,0.85,0.92391,92.475,"June 10, 24",0.0092391
2024-06-07,93.4,94.3,93.15,93.9,93.9,167386,167386,0.5,0.53533,93.6875,"June 07, 24",0.0053533
2024-06-06,92.5,94.15,92.3,93.15,93.15,182638,182638,0.65,0.7027,93.025,"June 06, 24",0.007027
2024-06-05,90.1,91.9,89.85,91.8,91.8,150699,150699,1.7,1.89,90.9125,"June 05, 24",0.0189
2024-06-04,89.95,90.4,89.55,89.85,89.85,124350,124350,-0.099999,-0.11117,89.9375,"June 04, 24",-0.0011117
2024-06-03,90.45,90.55,89.05,90.0,90.0,153604,153604,-0.45,-0.49751,90.0125,"June 03, 24",-0.0049751
2024-05-31,88.75,90.35,88.05,90.35,90.35,694421,694421,1.6,1.8,89.375,"May 31, 24",0.018
2024-05-30,87.5,88.75,87.3,88.75,88.75,138411,138411,1.25,1.43,88.075,"May 30, 24",0.0143
2024-05-29,87.5,88.15,86.5,87.8,87.8,140084,140084,0.3,0.34286,87.4875,"May 29, 24",0.0034286
2024-05-28,89.5,89.75,87.95,87.95,87.95,118165,118165,-1.55,-1.73,88.7875,"May 28, 24",-0.0173
2024-05-27,90.55,90.55,88.6,89.4,89.4,58908,58908,-1.15,-1.27,89.775,"May 27, 24",-0.0127
2024-05-24,90.35,90.55,89.3,90.55,90.55,178748,178748,0.20001,0.22136,90.1875,"May 24, 24",0.0022136
2024-05-23,87.35,90.5,87.25,90.5,90.5,205950,205950,3.15,3.61,88.9,"May 23, 24",0.0361
2024-05-22,87.8,87.85,86.75,87.6,87.6,117674,117674,-0.20001,-0.22779,87.5,"May 22, 24",-0.0022779
2024-05-21,87.1,88.1,86.6,88.05,88.05,211287,211287,0.95001,1.09,87.4625,"May 21, 24",0.0109
2024-05-20,91.9,91.95,90.0,90.0,87.52,106184,106184,-1.9,-2.07,90.9625,"May 20, 24",-0.0207
2024-05-17,89.8,92.15,89.7,91.8,89.27,235735,235735,2.0,2.23,90.8625,"May 17, 24",0.0223
2024-05-16,87.4,89.85,87.3,89.8,87.33,226809,226809,2.4,2.75,88.5875,"May 16, 24",0.0275
2024-05-15,88.35,88.9,86.6,87.0,84.6,272123,272123,-1.35,-1.53,87.7125,"May 15, 24",-0.0153
