date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,32.06,32.11,31.59,31.83,31.83,41449777,41449777,-0.23,-0.7174,31.8975,"May 17, 24",-0.007174
2024-05-16,31.63,32.26,31.52,32.03,32.03,47752828,47752828,0.4,1.26,31.86,"May 16, 24",0.0126
2024-05-15,31.38,31.4,30.81,31.27,31.27,36992927,36992927,-0.11,-0.35054,31.215,"May 15, 24",-0.0035054
2024-05-14,30.62,31.11,30.61,31.05,31.05,47759855,47759855,0.43,1.4,30.8475,"May 14, 24",0.014
2024-05-13,30.03,31.13,30,30.51,30.51,51459143,51459143,0.48,1.6,30.4175,"May 13, 24",0.016
2024-05-10,30.33,30.46,29.84,29.85,29.85,42931290,42931290,-0.48,-1.58,30.12,"May 10, 24",-0.0158
2024-05-09,29.93,30.39,29.81,30.09,30.09,45003402,45003402,0.16,0.53458,30.055,"May 09, 24",0.0053458
2024-05-08,30,30.15,29.73,30,30,63734597,63734597,0,0,29.97,"May 08, 24",0
2024-05-07,31.09,31.45,30.61,30.68,30.68,44683401,44683401,-0.41,-1.32,30.9575,"May 07, 24",-0.0132
2024-05-06,31.12,31.2,30.73,30.97,30.97,36185572,36185572,-0.145,-0.48201,31.005,"May 06, 24",-0.0048201
2024-05-03,30.98,31.06,30.7,30.9,30.77,36794828,36794828,-0.08,-0.25823,30.91,"May 03, 24",-0.0025823
2024-05-02,30.59,30.67,30.19,30.51,30.39,50899442,50899442,-0.08,-0.26152,30.49,"May 02, 24",-0.0026152
2024-05-01,30.17,31.04,30.02,30.37,30.25,60654760,60654760,0.2,0.66291,30.4,"May 01, 24",0.0066291
2024-04-30,31.04,31.18,30.42,30.47,30.35,72346359,72346359,-0.57,-1.84,30.7775,"April 30, 24",-0.0184
2024-04-29,31.86,31.91,31.07,31.36,31.23,58533264,58533264,-0.5,-1.57,31.55,"April 29, 24",-0.0157
2024-04-26,31.78,32.24,30.64,31.88,31.75,119742494,119742494,0.1,0.31466,31.635,"April 26, 24",0.0031466
2024-04-25,34.56,35.3,34.5,35.11,34.97,66549403,66549403,0.55,1.59,34.8675,"April 25, 24",0.0159
