date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,40.5,40.95,40.39,40.64,40.64,3675722,3675722,0.14,0.34568,40.62,"May 17, 24",0.0034568
2024-05-16,39.66,40.69,39.51,40.52,40.52,4474303,4474303,0.86,2.17,40.095,"May 16, 24",0.0217
2024-05-15,39.91,40.25,39.53,39.71,39.71,4878816,4878816,-0.2,-0.50113,39.85,"May 15, 24",-0.0050113
2024-05-14,39.72,39.92,39.13,39.85,39.85,3621706,3621706,0.13,0.32729,39.655,"May 14, 24",0.0032729
2024-05-13,38.64,39.58,38.55,39.52,39.52,6035196,6035196,0.88,2.28,39.0725,"May 13, 24",0.0228
2024-05-10,39.89,39.89,38.1,38.58,38.58,8251562,8251562,-1.31,-3.28,39.115,"May 10, 24",-0.0328
2024-05-09,39.19,40.06,39.1,39.84,39.84,9311783,9311783,0.65,1.66,39.5475,"May 09, 24",0.0166
2024-05-08,38.25,39.38,38.21,39.28,39.28,8103371,8103371,1.03,2.69,38.78,"May 08, 24",0.0269
2024-05-07,37.02,41.3,36.88,38.84,38.84,28917781,28917781,1.82,4.92,38.51,"May 07, 24",0.0492
2024-05-06,36.57,37.23,36.22,36.92,36.92,5777032,5777032,0.35,0.95707,36.735,"May 06, 24",0.0095707
2024-05-03,36.08,36.32,35.76,36.28,36.28,5818438,5818438,0.2,0.55432,36.11,"May 03, 24",0.0055432
2024-05-02,35.5,36.08,35.13,35.81,35.81,5938947,5938947,0.31,0.87324,35.63,"May 02, 24",0.0087324
2024-05-01,34.77,35.52,34.54,35.28,35.28,6827231,6827231,0.51,1.47,35.0275,"May 01, 24",0.0147
2024-04-30,34.94,35.27,34.61,34.94,34.94,6933516,6933516,0,0,34.94,"April 30, 24",0
2024-04-29,34.34,35.48,34.18,35.32,35.32,8570470,8570470,0.98,2.85,34.83,"April 29, 24",0.0285
2024-04-26,33.72,33.99,33.28,33.83,33.83,6735103,6735103,0.11,0.32622,33.705,"April 26, 24",0.0032622
2024-04-25,33.49,34.27,33.16,33.52,33.52,12003022,12003022,0.03,0.08957898,33.61,"April 25, 24",0.0008957898
2024-04-24,34.2,34.56,33.92,34.43,34.43,8249631,8249631,0.23,0.67251,34.2775,"April 24, 24",0.0067251
2024-04-23,33.92,34.49,33.67,34.41,34.41,6744513,6744513,0.49,1.44,34.1225,"April 23, 24",0.0144
2024-04-22,35.3,35.41,34.54,34.76,34.76,7334706,7334706,-0.54,-1.53,35.0025,"April 22, 24",-0.0153
2024-04-19,34.51,35.72,34.51,35.37,35.37,14618550,14618550,0.86,2.49,35.0275,"April 19, 24",0.0249
2024-04-18,35.22,35.65,35.09,35.26,35.26,5229363,5229363,0.04,0.11357,35.305,"April 18, 24",0.0011357
2024-04-17,36.11,36.17,35.01,35.06,35.06,6380974,6380974,-1.05,-2.91,35.5875,"April 17, 24",-0.0291
2024-04-16,37.01,37.03,35.8,35.91,35.91,8615440,8615440,-1.1,-2.97,36.4375,"April 16, 24",-0.0297
2024-04-15,37.67,38,36.56,36.77,36.77,3535946,3535946,-0.9,-2.39,37.25,"April 15, 24",-0.0239
