date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,64.03,64.3,63.12,63.28,63.28,10033361,10033361,-0.75,-1.17,63.6825,"July 01, 24",-0.0117
2024-06-28,63.9,64.06,63.52,63.65,63.65,17358827,17358827,-0.25,-0.39124,63.7825,"June 28, 24",-0.0039124
2024-06-27,64.05,64.27,63.62,63.91,63.91,8494123,8494123,-0.14,-0.21858,63.9625,"June 27, 24",-0.0021858
2024-06-26,63.4,64.11,63.23,64.05,64.05,9402502,9402502,0.65,1.03,63.6975,"June 26, 24",0.0103
2024-06-25,63.94,64.07,63.51,63.84,63.84,10546793,10546793,-0.095,-0.1564,63.84,"June 25, 24",-0.001564
2024-06-24,62.99,64.06,62.91,63.97,63.97,13212454,13212454,0.98,1.56,63.4825,"June 24, 24",0.0156
2024-06-21,62.18,63.1,62.18,62.77,62.77,28282194,28282194,0.59,0.94886,62.5575,"June 21, 24",0.0094886
2024-06-20,62.4,62.74,61.95,62.18,62.18,13306273,13306273,-0.22,-0.35256,62.3175,"June 20, 24",-0.0035256
2024-06-18,62.53,62.82,62.44,62.63,62.63,10651661,10651661,0.1,0.15992,62.605,"June 18, 24",0.0015992
2024-06-17,62.37,62.9,62.18,62.62,62.62,10535373,10535373,0.25,0.40083,62.5175,"June 17, 24",0.0040083
2024-06-14,62.38,62.69,62.09,62.55,62.55,8179239,8179239,0.17,0.27252,62.4275,"June 14, 24",0.0027252
2024-06-13,62.86,63.04,62.45,62.99,62.5,9668888,9668888,0.13,0.20681,62.835,"June 13, 24",0.0020681
2024-06-12,63.69,63.69,62.69,62.88,62.4,9569550,9569550,-0.81,-1.27,63.2375,"June 12, 24",-0.0127
2024-06-11,63.59,63.65,63.07,63.55,63.06,8395960,8395960,-0.04,-0.06290297,63.465,"June 11, 24",-0.0006290297
2024-06-10,63.94,63.99,63.37,63.59,63.1,15687128,15687128,-0.35,-0.54739,63.7225,"June 10, 24",-0.0054739
2024-06-07,64.09,64.22,63.81,63.91,63.42,9523089,9523089,-0.18,-0.28086,64.0075,"June 07, 24",-0.0028086
2024-06-06,63.92,64.36,63.84,64.15,63.66,8658456,8658456,0.23,0.35982,64.0675,"June 06, 24",0.0035982
2024-06-05,63.99,64.07,63.35,63.92,63.43,9632525,9632525,-0.07,-0.10939,63.8325,"June 05, 24",-0.0010939
2024-06-04,63.2,63.97,62.94,63.94,63.45,11895622,11895622,0.74,1.17,63.5125,"June 04, 24",0.0117
2024-06-03,62.71,63.09,62.45,62.93,62.45,9369046,9369046,0.22,0.35082,62.795,"June 03, 24",0.0035082
2024-05-31,61.99,63.03,61.69,62.93,62.45,19816630,19816630,0.94,1.52,62.41,"May 31, 24",0.0152
2024-05-30,61.85,62.08,61.6,61.97,61.49,9436821,9436821,0.12,0.19402,61.875,"May 30, 24",0.0019402
2024-05-29,61.47,61.88,61.07,61.7,61.22,11861815,11861815,0.23,0.37417,61.53,"May 29, 24",0.0037417
2024-05-28,61.79,62.13,61.4,61.82,61.34,12346998,12346998,0.03,0.04855155,61.785,"May 28, 24",0.0004855155
2024-05-24,62.22,62.42,61.97,62.0,61.52,8203136,8203136,-0.22,-0.35358,62.1525,"May 24, 24",-0.0035358
2024-05-23,62.49,62.88,62.05,62.09,61.61,9834292,9834292,-0.4,-0.6401,62.3775,"May 23, 24",-0.006401
2024-05-22,62.71,63.02,62.66,63.0,62.51,7419406,7419406,0.29,0.46245,62.8475,"May 22, 24",0.0046245
2024-05-21,62.82,62.98,62.44,62.91,62.43,9796202,9796202,0.09,0.14327,62.7875,"May 21, 24",0.0014327
2024-05-20,62.93,63.01,62.46,62.57,62.09,11000888,11000888,-0.36,-0.57206,62.7425,"May 20, 24",-0.0057206
2024-05-17,63.34,63.37,62.94,63.03,62.54,11539022,11539022,-0.31,-0.48942,63.17,"May 17, 24",-0.0048942
2024-05-16,63.24,63.73,63.07,63.32,62.83,10228002,10228002,0.08,0.1265,63.34,"May 16, 24",0.001265
2024-05-15,63.06,63.39,63.0,63.13,62.64,9838897,9838897,0.07,0.11101,63.145,"May 15, 24",0.0011101
2024-05-14,63.58,63.76,62.8,63.1,62.61,10852231,10852231,-0.48,-0.75495,63.31,"May 14, 24",-0.0075495
2024-05-13,63.24,63.62,63.18,63.58,63.09,10137619,10137619,0.34,0.53763,63.405,"May 13, 24",0.0053763
2024-05-10,62.92,63.36,62.79,63.26,62.77,8371691,8371691,0.34,0.54037,63.0825,"May 10, 24",0.0054037
2024-05-09,62.81,63.15,62.75,62.88,62.4,9113662,9113662,0.07,0.11145,62.8975,"May 09, 24",0.0011145
2024-05-08,62.85,62.97,62.48,62.85,62.37,10484408,10484408,0.0,0.0,62.7875,"May 08, 24",0.0
2024-05-07,62.76,62.82,62.25,62.62,62.14,9807029,9807029,-0.14,-0.22307,62.6125,"May 07, 24",-0.0022307
2024-05-06,62.3,62.38,61.9,62.35,61.87,9310699,9310699,0.05,0.08025682,62.2325,"May 06, 24",0.0008025682
2024-05-03,61.99,62.33,61.64,62.17,61.69,11628675,11628675,0.18,0.29037,62.0325,"May 03, 24",0.0029037
2024-05-02,62.18,62.4,61.72,61.99,61.51,10991304,10991304,-0.19,-0.30556,62.0725,"May 02, 24",-0.0030556
2024-05-01,61.8,62.57,61.21,61.93,61.45,16730830,16730830,0.13,0.21036,61.8775,"May 01, 24",0.0021036
2024-04-30,62.14,62.83,61.47,61.77,61.29,19349153,19349153,-0.37,-0.59543,62.0525,"April 30, 24",-0.0059543
2024-04-29,61.92,62.05,61.53,62.04,61.56,13420749,13420749,0.12,0.1938,61.885,"April 29, 24",0.001938
2024-04-26,61.55,61.93,61.35,61.74,61.26,10994262,10994262,0.19,0.30869,61.6425,"April 26, 24",0.0030869
2024-04-25,61.87,62.59,61.37,61.74,61.26,19048535,19048535,-0.13,-0.21012,61.8925,"April 25, 24",-0.0021012
2024-04-24,60.32,61.65,59.84,61.55,61.08,19548315,19548315,1.23,2.04,60.84,"April 24, 24",0.0204
2024-04-23,60.53,60.68,60.13,60.64,60.17,13689127,13689127,0.11,0.18173,60.495,"April 23, 24",0.0018173
2024-04-22,60.14,60.63,59.72,60.55,60.08,15624546,15624546,0.41,0.68174,60.26,"April 22, 24",0.0068174
2024-04-19,59.1,60.36,59.0,60.17,59.71,21207852,21207852,1.07,1.81,59.6575,"April 19, 24",0.0181
2024-04-18,58.62,58.98,58.54,58.91,58.46,11125869,11125869,0.29,0.49471,58.7625,"April 18, 24",0.0049471
2024-04-17,58.28,58.56,58.1,58.51,58.06,13805068,13805068,0.23,0.39465,58.3625,"April 17, 24",0.0039465
2024-04-16,58.25,58.38,57.93,58.06,57.61,11236839,11236839,-0.19,-0.32618,58.155,"April 16, 24",-0.0032618
2024-04-15,58.61,58.81,58.04,58.14,57.69,12425049,12425049,-0.47,-0.80191,58.4,"April 15, 24",-0.0080191
2024-04-12,58.95,59.01,58.13,58.28,57.83,12250949,12250949,-0.67,-1.14,58.5925,"April 12, 24",-0.0114
2024-04-11,59.15,59.37,58.79,59.05,58.6,11109007,11109007,-0.1,-0.16906,59.09,"April 11, 24",-0.0016906
2024-04-10,59.32,59.39,58.69,58.92,58.47,11861881,11861881,-0.4,-0.67431,59.08,"April 10, 24",-0.0067431
2024-04-09,59.48,59.74,59.13,59.72,59.26,10792141,10792141,0.24,0.4035,59.5175,"April 09, 24",0.004035
2024-04-08,59.4,59.47,59.07,59.27,58.81,10284535,10284535,-0.13,-0.21886,59.3025,"April 08, 24",-0.0021886
2024-04-05,59.25,59.68,58.91,59.51,59.05,10157760,10157760,0.26,0.43882,59.3375,"April 05, 24",0.0043882
2024-04-04,60.09,60.15,59.17,59.3,58.84,14320686,14320686,-0.79,-1.31,59.6775,"April 04, 24",-0.0131
2024-04-03,60.05,60.39,59.78,59.83,59.37,13672922,13672922,-0.22,-0.36636,60.0125,"April 03, 24",-0.0036636
2024-04-02,60.45,60.73,60.11,60.15,59.69,13017260,13017260,-0.3,-0.49628,60.36,"April 02, 24",-0.0049628
2024-04-01,61.18,61.3,60.63,60.68,60.21,11668686,11668686,-0.5,-0.81726,60.9475,"April 01, 24",-0.0081726
2024-03-28,61.14,61.26,61.0,61.18,60.71,13683528,13683528,0.04,0.06542362,61.145,"March 28, 24",0.0006542362
2024-03-27,60.79,61.43,60.7,61.03,60.56,12551216,12551216,0.24,0.3948,60.9875,"March 27, 24",0.003948
2024-03-26,60.5,60.71,60.38,60.54,60.07,13277388,13277388,0.04,0.0661157,60.5325,"March 26, 24",0.000661157
