date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,5.85,5.87,5.75,5.76,5.76,5706062,5706062,-0.092,-1.54,5.8075,"July 01, 24",-0.0154
2024-06-28,5.68,5.73,5.61,5.71,5.71,6570313,6570313,0.03,0.52817,5.6825,"June 28, 24",0.0052817
2024-06-27,5.71,5.72,5.65,5.65,5.65,4971284,4971284,-0.06,-1.05,5.6825,"June 27, 24",-0.0105
2024-06-26,5.82,5.84,5.69,5.71,5.71,7042894,7042894,-0.108,-1.89,5.765,"June 26, 24",-0.0189
2024-06-25,5.82,5.85,5.74,5.81,5.81,4802814,4802814,-0.002,-0.17182,5.805,"June 25, 24",-0.0017182
2024-06-24,5.77,5.86,5.74,5.81,5.81,7300338,7300338,0.04,0.69324,5.795,"June 24, 24",0.0069324
2024-06-21,5.79,5.79,5.65,5.73,5.73,13198248,13198248,-0.064,-1.04,5.74,"June 21, 24",-0.0104
2024-06-20,5.82,5.88,5.75,5.78,5.78,12574850,12574850,-0.032,-0.68729,5.8075,"June 20, 24",-0.0068729
2024-06-19,5.97,6.02,5.96,6.0,6.0,3342624,3342624,0.034,0.50251,5.9875,"June 19, 24",0.0050251
2024-06-18,5.97,6.02,5.94,5.97,5.97,5350452,5350452,0.002,0.0,5.975,"June 18, 24",0.0
2024-06-17,5.92,5.95,5.85,5.89,5.89,5327201,5327201,-0.032,-0.50676,5.9025,"June 17, 24",-0.0050676
2024-06-14,5.97,6.0,5.85,5.9,5.9,11117085,11117085,-0.078,-1.17,5.93,"June 14, 24",-0.0117
2024-06-13,6.14,6.15,5.84,5.94,5.94,21415538,21415538,-0.198,-3.26,6.0175,"June 13, 24",-0.0326
2024-06-12,6.17,6.34,6.17,6.29,6.29,5279046,5279046,0.116,1.94,6.2425,"June 12, 24",0.0194
2024-06-11,6.23,6.23,6.14,6.17,6.17,5505804,5505804,-0.058,-0.96308,6.1925,"June 11, 24",-0.0096308
2024-06-10,6.27,6.27,6.19,6.23,6.23,5176547,5176547,-0.04,-0.63796,6.24,"June 10, 24",-0.0063796
2024-06-07,6.34,6.37,6.24,6.3,6.3,5353696,5353696,-0.048,-0.63091,6.3125,"June 07, 24",-0.0063091
2024-06-06,6.39,6.41,6.28,6.34,6.34,5063708,5063708,-0.044,-0.78247,6.355,"June 06, 24",-0.0078247
2024-06-05,6.32,6.41,6.28,6.37,6.37,5740000,5740000,0.046,0.79114,6.345,"June 05, 24",0.0079114
2024-06-04,6.45,6.47,6.27,6.33,6.33,8423627,8423627,-0.122,-1.86,6.38,"June 04, 24",-0.0186
