date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,91.73,91.73,89.83,89.96,89.96,605140,605140,-1.77,-1.93,90.8125,"May 17, 24",-0.0193
2024-05-16,90,90.39,89.21,89.23,89.23,424598,424598,-0.77,-0.85556,89.7075,"May 16, 24",-0.0085556
2024-05-15,89.32,89.42,88.53,88.58,88.58,414477,414477,-0.745,-0.82848,88.9625,"May 15, 24",-0.0082848
2024-05-14,88.21,89.38,88.17,89.17,89.17,397235,397235,0.96,1.09,88.7325,"May 14, 24",0.0109
2024-05-13,85.03,86.42,84.94,86.36,86.36,357479,357479,1.33,1.56,85.6875,"May 13, 24",0.0156
2024-05-10,85.28,85.42,84.6,84.76,84.76,350745,350745,-0.52,-0.60976,85.015,"May 10, 24",-0.0060976
2024-05-09,84.25,84.82,84.01,84.8,84.8,163224,163224,0.55,0.65282,84.47,"May 09, 24",0.0065282
2024-05-08,84.54,84.97,84.12,84.39,84.39,265250,265250,-0.15,-0.17743,84.505,"May 08, 24",-0.0017743
2024-05-07,84.02,84.63,83.89,84.35,84.35,370281,370281,0.33,0.39276,84.2225,"May 07, 24",0.0039276
2024-05-06,83.65,84.25,83.11,83.91,83.91,450848,450848,0.26,0.31082,83.73,"May 06, 24",0.0031082
2024-05-03,81.36,82.1,81.1,82.09,82.09,444841,444841,0.73,0.89725,81.6625,"May 03, 24",0.0089725
2024-05-02,81.46,81.97,80.78,81.77,81.77,772869,772869,0.31,0.38055,81.495,"May 02, 24",0.0038055
2024-05-01,77.29,80.47,77.21,79.01,79.01,655344,655344,1.72,2.23,78.495,"May 01, 24",0.0223
2024-04-30,75.71,79.04,74.72,78.39,78.39,1650184,1650184,2.68,3.54,76.965,"April 30, 24",0.0354
2024-04-29,79.43,80.29,78.02,79.44,79.44,1248020,1248020,0.01,0.0125897,79.295,"April 29, 24",0.000125897
2024-04-26,79.24,80.02,79.03,79.26,79.26,538537,538537,0.02,0.02523978,79.3875,"April 26, 24",0.0002523978
2024-04-25,77.86,79.38,77.81,78.72,78.72,565746,565746,0.86,1.1,78.4425,"April 25, 24",0.011
2024-04-24,79.9,79.9,78.83,79.41,79.41,232943,232943,-0.49,-0.61327,79.51,"April 24, 24",-0.0061327
2024-04-23,77.87,79.03,77.77,79.01,79.01,349684,349684,1.14,1.46,78.42,"April 23, 24",0.0146
2024-04-22,77.91,78.54,77.67,78.23,78.23,445530,445530,0.32,0.41073,78.0875,"April 22, 24",0.0041073
2024-04-19,78.14,78.6,77.12,77.31,77.31,362087,362087,-0.83,-1.06,77.7925,"April 19, 24",-0.0106
2024-04-18,78.54,78.99,77.69,78.08,78.08,659609,659609,-0.46,-0.58569,78.325,"April 18, 24",-0.0058569
2024-04-17,80.46,80.54,78.5,79,79,625695,625695,-1.46,-1.81,79.625,"April 17, 24",-0.0181
2024-04-16,80.23,80.32,79.19,79.69,79.69,1005771,1005771,-0.54,-0.67306,79.8575,"April 16, 24",-0.0067306
2024-04-15,83.79,83.79,80.35,81.26,81.26,1224522,1224522,-2.53,-3.02,82.2975,"April 15, 24",-0.0302
2024-04-12,88.03,88.52,86.78,86.84,86.84,243148,243148,-1.19,-1.35,87.5425,"April 12, 24",-0.0135
2024-04-11,87.02,87.99,86.41,87.41,87.41,312837,312837,0.39,0.44817,87.2075,"April 11, 24",0.0044817
2024-04-10,86.54,87.26,85.93,85.94,85.94,234875,234875,-0.6,-0.69332,86.4175,"April 10, 24",-0.0069332
2024-04-09,88.39,88.58,87.47,88.56,88.56,269669,269669,0.17,0.19233,88.25,"April 09, 24",0.0019233
2024-04-08,88.18,88.44,87.68,87.74,87.74,229911,229911,-0.44,-0.49898,88.01,"April 08, 24",-0.0049898
2024-04-05,87.02,87.96,86.76,87.36,87.36,323410,323410,0.34,0.39071,87.275,"April 05, 24",0.0039071
2024-04-04,89.95,90.03,87.55,87.56,87.56,393054,393054,-2.39,-2.66,88.7725,"April 04, 24",-0.0266
2024-04-03,88.62,90.64,88.57,90.38,90.38,208229,208229,1.76,1.99,89.5525,"April 03, 24",0.0199
2024-04-02,89.04,89.13,88.37,88.7,88.7,204600,204600,-0.34,-0.38185,88.81,"April 02, 24",-0.0038185
2024-04-01,89.68,90.02,88.34,89.28,89.28,313135,313135,-0.4,-0.44603,89.33,"April 01, 24",-0.0044603
2024-03-28,88.71,89.75,88.68,89.37,89.37,322398,322398,0.66,0.744,89.1275,"March 28, 24",0.00744
2024-03-27,89.8,89.84,87.53,88.46,88.46,446923,446923,-1.34,-1.49,88.9075,"March 27, 24",-0.0149
2024-03-26,91.26,91.48,90.62,90.76,90.76,303126,303126,-0.5,-0.54789,91.03,"March 26, 24",-0.0054789
2024-03-25,91.65,91.77,90.88,91.12,91.12,219428,219428,-0.53,-0.57829,91.355,"March 25, 24",-0.0057829
2024-03-22,89.9,90.95,89.81,90.84,90.84,195448,195448,0.94,1.05,90.375,"March 22, 24",0.0105
2024-03-21,89.66,90.07,88.93,89.8,89.8,311375,311375,0.14,0.15615,89.615,"March 21, 24",0.0015615
2024-03-20,88.74,90.74,88.56,90.47,90.47,512976,512976,1.73,1.95,89.6275,"March 20, 24",0.0195
2024-03-19,89.01,90.58,88.72,90.48,90.48,515712,515712,1.47,1.65,89.6975,"March 19, 24",0.0165
2024-03-18,87.04,89.49,85.95,88.16,88.16,1386078,1386078,1.12,1.29,87.66,"March 18, 24",0.0129
2024-03-15,94.15,95.58,93.8,94.72,94.72,578457,578457,0.57,0.60542,94.5625,"March 15, 24",0.0060542
2024-03-14,94.29,94.7,93.32,93.55,93.55,367040,367040,-0.74,-0.78481,93.965,"March 14, 24",-0.0078481
2024-03-13,93.74,94.23,93.02,93.31,93.31,329226,329226,-0.43,-0.45872,93.575,"March 13, 24",-0.0045872
2024-03-12,91.14,92.53,90.57,92.5,92.5,310998,310998,1.36,1.49,91.685,"March 12, 24",0.0149
2024-03-11,90.46,91.45,88.27,91.41,91.41,556416,556416,0.95,1.05,90.3975,"March 11, 24",0.0105
2024-03-08,90.4,91.41,90.31,90.51,90.51,458944,458944,0.11,0.12168,90.6575,"March 08, 24",0.0012168
2024-03-07,89.02,89.96,88.73,89.53,89.53,350964,350964,0.51,0.5729,89.31,"March 07, 24",0.005729
2024-03-06,86.94,88.95,86.79,88.26,88.26,538184,538184,1.32,1.52,87.735,"March 06, 24",0.0152
2024-03-05,86.45,86.45,84.44,84.78,84.78,455084,455084,-1.67,-1.93,85.53,"March 05, 24",-0.0193
2024-03-04,87.04,87.04,84.89,86.33,86.33,630685,630685,-0.71,-0.81572,86.325,"March 04, 24",-0.0081572
2024-03-01,87.77,88.34,87.67,87.9,87.9,318542,318542,0.13,0.14811,87.92,"March 01, 24",0.0014811
2024-02-29,89.14,89.25,87.61,87.82,87.82,335233,335233,-1.32,-1.48,88.455,"February 29, 24",-0.0148
2024-02-28,89.82,89.82,88.27,88.77,88.77,380339,380339,-1.05,-1.17,89.17,"February 28, 24",-0.0117
2024-02-27,90.38,90.79,89.88,89.94,89.94,251908,251908,-0.44,-0.48683,90.2475,"February 27, 24",-0.0048683
2024-02-26,90.08,90.2,89.6,89.85,89.85,397136,397136,-0.23,-0.25533,89.9325,"February 26, 24",-0.0025533
2024-02-23,90,90,89.12,89.64,89.64,288544,288544,-0.36,-0.4,89.69,"February 23, 24",-0.004
2024-02-22,87.84,89.29,87.8,89,89,364057,364057,1.16,1.32,88.4825,"February 22, 24",0.0132
