date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,440.8,442.47,435.55,437.61,437.61,3149663,3149663,-3.19,-0.72368,439.1075,"July 01, 24",-0.0072368
2024-06-28,444.64,448.3,438.72,441.16,441.16,4105179,4105179,-3.48,-0.78266,443.205,"June 28, 24",-0.0078266
2024-06-27,448.57,448.7,442.0,442.75,442.75,3313924,3313924,-5.82,-1.3,445.505,"June 27, 24",-0.013
2024-06-26,452.75,454.68,451.39,452.38,452.38,2451388,2451388,-0.37,-0.08172281,452.8,"June 26, 24",-0.0008172281
2024-06-25,458.48,460.31,453.8,455.65,455.65,2529625,2529625,-2.83,-0.61726,457.06,"June 25, 24",-0.0061726
2024-06-24,454.93,463.07,454.93,456.96,456.96,2597068,2597068,2.03,0.44622,457.4725,"June 24, 24",0.0044622
2024-06-21,452.19,455.3,450.26,454.85,454.85,5062383,5062383,2.66,0.58825,453.15,"June 21, 24",0.0058825
2024-06-20,451.06,454.48,448.36,452.51,452.51,3006765,3006765,1.45,0.32146,451.6025,"June 20, 24",0.0032146
2024-06-18,447.06,451.2,446.7,450.11,450.11,2636506,2636506,3.05,0.68224,448.7675,"June 18, 24",0.0068224
2024-06-17,442.43,449.34,441.68,448.11,448.11,2352099,2352099,5.68,1.28,445.39,"June 17, 24",0.0128
2024-06-14,443.34,444.96,441.2,444.63,444.63,2161546,2161546,1.29,0.29097,443.5325,"June 14, 24",0.0029097
2024-06-13,443.0,445.15,439.32,445.0,445.0,2916648,2916648,2.0,0.45147,443.1175,"June 13, 24",0.0045147
2024-06-12,451.49,452.5,441.6,443.0,443.0,2738928,2738928,-8.49,-1.88,447.1475,"June 12, 24",-0.0188
2024-06-11,447.84,449.25,445.11,449.04,449.04,1777281,1777281,1.2,0.26795,447.81,"June 11, 24",0.0026795
2024-06-10,448.42,450.17,444.37,449.25,449.25,1954548,1954548,0.83,0.18509,448.0525,"June 10, 24",0.0018509
2024-06-07,449.45,453.0,447.26,449.79,449.79,1664850,1664850,0.34,0.07564801,449.875,"June 07, 24",0.0007564801
2024-06-06,448.49,449.78,444.63,448.68,448.68,1887061,1887061,0.19,0.04236438,447.895,"June 06, 24",0.0004236438
2024-06-05,446.8,447.57,442.31,446.66,446.66,2157011,2157011,-0.14,-0.03133393,445.835,"June 05, 24",-0.0003133393
2024-06-04,443.36,444.88,441.32,444.77,444.77,2096578,2096578,1.41,0.31803,443.5825,"June 04, 24",0.0031803
2024-06-03,443.48,445.0,437.89,443.19,443.19,2123775,2123775,-0.29,-0.0653919,442.39,"June 03, 24",-0.000653919
2024-05-31,442.69,447.34,439.26,447.07,447.07,3917303,3917303,4.38,0.98941,444.09,"May 31, 24",0.0098941
2024-05-30,442.21,444.19,440.67,442.1,442.1,2189905,2189905,-0.11,-0.02487506,442.2925,"May 30, 24",-0.0002487506
2024-05-29,442.11,444.56,441.8,442.47,442.47,1876996,1876996,0.36,0.0814277,442.735,"May 29, 24",0.000814277
2024-05-28,450.0,450.63,442.4,445.08,445.08,2670989,2670989,-4.92,-1.09,447.0275,"May 28, 24",-0.0109
2024-05-24,452.51,454.45,450.32,451.18,451.18,2162182,2162182,-1.33,-0.29392,452.115,"May 24, 24",-0.0029392
2024-05-23,456.52,458.05,450.44,451.21,451.21,2084733,2084733,-5.31,-1.16,454.055,"May 23, 24",-0.0116
2024-05-22,458.9,462.5,455.17,456.52,456.52,1713650,1713650,-2.38,-0.51863,458.2725,"May 22, 24",-0.0051863
2024-05-21,457.91,460.39,455.63,459.1,459.1,2165999,2165999,1.19,0.25988,458.2575,"May 21, 24",0.0025988
2024-05-20,459.48,462.22,458.78,459.66,459.66,1397291,1397291,0.18,0.03917472,460.035,"May 20, 24",0.0003917472
2024-05-17,460.45,461.69,458.11,460.27,460.27,1985903,1985903,-0.18,-0.03909219,460.13,"May 17, 24",-0.0003909219
2024-05-16,460.0,464.93,458.82,458.87,458.87,2412233,2412233,-1.13,-0.24565,460.655,"May 16, 24",-0.0024565
2024-05-15,452.79,458.6,452.79,458.0,458.0,2437772,2437772,5.21,1.15,455.545,"May 15, 24",0.0115
2024-05-14,457.92,458.98,449.3,454.2,454.2,2990997,2990997,-3.72,-0.81237,455.1,"May 14, 24",-0.0081237
2024-05-13,456.93,458.72,455.51,457.76,457.76,2069345,2069345,0.83,0.18165,457.23,"May 13, 24",0.0018165
2024-05-10,457.33,458.58,454.98,456.98,456.98,1730054,1730054,-0.35,-0.07653117,456.9675,"May 10, 24",-0.0007653117
2024-05-09,453.55,456.03,453.55,455.49,455.49,1970193,1970193,1.94,0.42774,454.655,"May 09, 24",0.0042774
2024-05-08,454.0,455.11,449.92,454.77,454.77,2332440,2332440,0.77,0.1696,453.45,"May 08, 24",0.001696
2024-05-07,451.76,453.3,447.53,453.06,453.06,2345486,2345486,1.3,0.28776,451.4125,"May 07, 24",0.0028776
2024-05-06,447.23,450.5,445.56,449.37,449.37,2536211,2536211,2.14,0.4785,448.165,"May 06, 24",0.004785
2024-05-03,444.91,445.26,436.9,443.58,443.58,3711610,3711610,-1.33,-0.29894,442.6625,"May 03, 24",-0.0029894
2024-05-02,443.0,444.66,438.05,441.1,441.1,3866467,3866467,-1.9,-0.42889,441.7025,"May 02, 24",-0.0042889
2024-05-01,445.8,448.98,438.38,442.07,442.07,4979366,4979366,-3.73,-0.8367,443.8075,"May 01, 24",-0.008367
2024-04-30,456.26,457.72,450.88,451.2,451.2,2698813,2698813,-5.06,-1.11,454.015,"April 30, 24",-0.0111
2024-04-29,460.95,461.59,455.68,457.1,457.1,2121464,2121464,-3.85,-0.83523,458.83,"April 29, 24",-0.0083523
2024-04-26,462.91,464.82,460.94,462.42,462.42,1963273,1963273,-0.49,-0.10585,462.7725,"April 26, 24",-0.0010585
2024-04-25,460.94,464.0,456.72,462.11,462.11,2006668,2006668,1.17,0.25383,460.9425,"April 25, 24",0.0025383
2024-04-24,465.29,468.15,460.35,462.5,462.5,4043134,4043134,-2.79,-0.59963,464.0725,"April 24, 24",-0.0059963
2024-04-23,458.48,462.98,457.31,462.82,462.82,2029056,2029056,4.34,0.94661,460.3975,"April 23, 24",0.0094661
2024-04-22,457.5,460.74,455.13,456.75,456.75,2157434,2157434,-0.75,-0.16393,457.53,"April 22, 24",-0.0016393
2024-04-19,458.89,459.86,452.59,455.39,455.39,2548844,2548844,-3.5,-0.76271,456.6825,"April 19, 24",-0.0076271
2024-04-18,460.5,461.91,453.8,454.7,454.7,1998880,1998880,-5.8,-1.26,457.7275,"April 18, 24",-0.0126
2024-04-17,462.77,463.41,458.15,460.16,460.16,1735073,1735073,-2.61,-0.564,461.1225,"April 17, 24",-0.00564
2024-04-16,460.0,463.38,459.0,459.82,459.82,1787264,1787264,-0.18,-0.03913043,460.55,"April 16, 24",-0.0003913043
2024-04-15,470.24,471.0,458.43,459.79,459.79,2070679,2070679,-10.45,-2.22,464.865,"April 15, 24",-0.0222
2024-04-12,466.0,469.52,462.11,465.38,465.38,2486361,2486361,-0.62,-0.13305,465.7525,"April 12, 24",-0.0013305
2024-04-11,468.28,470.35,464.19,468.31,468.31,2299867,2299867,0.03,0.00640642,467.7825,"April 11, 24",6.40642e-05
2024-04-10,470.17,474.39,468.85,469.17,469.17,2710709,2710709,-1.0,-0.21269,470.645,"April 10, 24",-0.0021269
2024-04-09,477.97,478.89,467.83,472.16,472.16,2218019,2218019,-5.81,-1.22,474.2125,"April 09, 24",-0.0122
2024-04-08,476.4,479.68,474.28,478.85,478.85,1961897,1961897,2.45,0.51427,477.3025,"April 08, 24",0.0051427
2024-04-05,474.0,479.31,472.53,477.15,476.49,2462740,2462740,3.15,0.66456,475.7475,"April 05, 24",0.0066456
2024-04-04,479.97,481.96,469.0,469.77,469.12,2552759,2552759,-10.2,-2.13,475.175,"April 04, 24",-0.0213
2024-04-03,480.44,483.3,477.21,477.42,476.76,2265162,2265162,-3.02,-0.62859,479.5925,"April 03, 24",-0.0062859
2024-04-02,476.97,480.41,476.3,479.43,478.77,3265212,3265212,2.46,0.51576,478.2775,"April 02, 24",0.0051576
2024-04-01,480.66,483.28,477.33,478.4,477.74,1648343,1648343,-2.26,-0.47019,479.9175,"April 01, 24",-0.0047019
2024-03-28,477.91,482.43,477.28,481.57,480.9,2214542,2214542,3.66,0.76583,479.7975,"March 28, 24",0.0076583
2024-03-27,480.5,482.16,474.75,477.95,477.29,2309507,2309507,-2.55,-0.5307,478.84,"March 27, 24",-0.005307
2024-03-26,477.72,480.0,472.31,476.8,476.14,2515051,2515051,-0.92,-0.19258,476.7075,"March 26, 24",-0.0019258
2024-03-25,481.6,482.32,474.41,476.04,475.38,2600371,2600371,-5.56,-1.15,478.5925,"March 25, 24",-0.0115
2024-03-22,488.31,488.89,481.46,481.67,481.0,2277794,2277794,-6.64,-1.36,485.0825,"March 22, 24",-0.0136
2024-03-21,488.53,490.0,483.4,488.64,487.96,2580338,2580338,0.11,0.02251653,487.6425,"March 21, 24",0.0002251653
2024-03-20,484.32,488.45,483.64,488.04,487.36,1691084,1691084,3.72,0.76809,486.1125,"March 20, 24",0.0076809
2024-03-19,481.62,484.61,479.51,484.0,483.33,2049644,2049644,2.38,0.49417,482.435,"March 19, 24",0.0049417
2024-03-18,478.64,480.82,476.65,478.89,478.23,2072358,2072358,0.25,0.05223132,478.75,"March 18, 24",0.0005223132
2024-03-15,473.34,478.46,473.08,475.83,475.17,4179328,4179328,2.49,0.52605,475.1775,"March 15, 24",0.0052605
2024-03-14,481.02,482.0,477.18,479.48,478.82,2757821,2757821,-1.54,-0.32015,479.92,"March 14, 24",-0.0032015
2024-03-13,474.23,476.16,472.78,475.61,474.95,2103955,2103955,1.38,0.291,474.695,"March 13, 24",0.00291
2024-03-12,470.53,474.37,468.71,472.87,472.22,1853933,1853933,2.34,0.49731,471.62,"March 12, 24",0.0049731
2024-03-11,469.0,469.37,464.69,469.16,468.51,1774642,1774642,0.16,0.03411514,468.055,"March 11, 24",0.0003411514
2024-03-08,467.1,471.62,467.1,469.26,468.61,1596884,1596884,2.16,0.46243,468.77,"March 08, 24",0.0046243
2024-03-07,473.2,473.27,465.89,467.54,466.89,2178103,2178103,-5.66,-1.2,469.975,"March 07, 24",-0.012
2024-03-06,467.16,473.62,467.16,471.6,470.95,1917151,1917151,4.44,0.95042,469.885,"March 06, 24",0.0095042
2024-03-05,467.37,469.24,464.62,467.52,466.87,2015063,2015063,0.15,0.03209449,467.1875,"March 05, 24",0.0003209449
2024-03-04,475.67,476.63,465.77,468.49,467.84,3212483,3212483,-7.18,-1.51,471.64,"March 04, 24",-0.0151
2024-03-01,474.91,477.5,473.9,476.63,475.97,1748452,1748452,1.72,0.36217,475.735,"March 01, 24",0.0036217
2024-02-29,478.0,478.39,472.05,474.76,474.1,3072717,3072717,-3.24,-0.67782,475.8,"February 29, 24",-0.0067782
2024-02-28,474.17,479.14,473.67,478.85,478.19,1931986,1931986,4.68,0.98699,476.4575,"February 28, 24",0.0098699
2024-02-27,474.55,475.0,469.95,474.75,474.09,2011129,2011129,0.2,0.04214519,473.5625,"February 27, 24",0.0004214519
2024-02-26,473.0,475.08,472.0,474.51,473.85,2066883,2066883,1.51,0.31924,473.6475,"February 26, 24",0.0031924
2024-02-23,473.73,475.17,471.86,473.42,472.77,1764216,1764216,-0.31,-0.06543812,473.545,"February 23, 24",-0.0006543812
2024-02-22,461.81,472.5,461.58,471.56,470.91,2572782,2572782,9.75,2.11,466.8625,"February 22, 24",0.0211
2024-02-21,453.31,459.6,452.0,459.05,458.42,2896527,2896527,5.74,1.27,455.99,"February 21, 24",0.0127
2024-02-20,452.8,455.85,450.12,451.75,451.13,5044210,5044210,-1.05,-0.23189,452.63,"February 20, 24",-0.0023189
2024-02-16,474.17,474.17,467.07,468.13,467.48,2237275,2237275,-6.04,-1.27,470.885,"February 16, 24",-0.0127
2024-02-15,465.83,472.11,465.23,471.28,470.63,2354215,2354215,5.45,1.17,468.6125,"February 15, 24",0.0117
2024-02-14,462.0,465.45,459.44,465.19,464.55,2202784,2202784,3.19,0.69048,463.02,"February 14, 24",0.0069048
2024-02-13,456.76,461.88,456.04,460.46,459.82,2407755,2407755,3.7,0.81005,458.785,"February 13, 24",0.0081005
2024-02-12,459.18,459.4,456.08,458.71,458.08,1794533,1794533,-0.47,-0.10236,458.3425,"February 12, 24",-0.0010236
2024-02-09,458.06,458.99,456.37,457.88,457.25,2155449,2155449,-0.18,-0.03929616,457.825,"February 09, 24",-0.0003929616
2024-02-08,460.0,460.75,457.45,458.26,457.63,2081511,2081511,-1.74,-0.37826,459.115,"February 08, 24",-0.0037826
2024-02-07,461.21,462.24,459.62,461.91,461.27,2544469,2544469,0.7,0.15177,461.245,"February 07, 24",0.0015177
2024-02-06,455.36,460.56,455.36,460.5,459.86,2201912,2201912,5.14,1.13,457.945,"February 06, 24",0.0113
2024-02-05,459.51,461.37,455.53,456.76,456.13,2438961,2438961,-2.75,-0.59846,458.2925,"February 05, 24",-0.0059846
2024-02-02,462.21,463.84,458.5,460.58,459.94,2050335,2050335,-1.63,-0.35265,461.2825,"February 02, 24",-0.0035265
2024-02-01,455.0,461.14,454.05,460.92,460.28,3292697,3292697,5.92,1.3,457.7775,"February 01, 24",0.013
2024-01-31,450.0,462.0,446.62,449.23,448.61,4740634,4740634,-0.77,-0.17111,451.9625,"January 31, 24",-0.0017111
2024-01-30,440.9,446.22,440.05,445.19,444.57,2663616,2663616,4.29,0.97301,443.09,"January 30, 24",0.0097301
2024-01-29,435.78,440.96,434.67,440.58,439.97,2314246,2314246,4.8,1.1,437.9975,"January 29, 24",0.011
2024-01-26,432.55,439.89,430.67,438.53,437.92,2725548,2725548,5.98,1.38,435.41,"January 26, 24",0.0138
2024-01-25,436.0,438.63,434.46,436.8,436.2,2977825,2977825,0.8,0.18349,436.4725,"January 25, 24",0.0018349
2024-01-24,438.53,440.93,435.76,438.7,438.09,2725669,2725669,0.17,0.03876588,438.48,"January 24, 24",0.0003876588
2024-01-23,440.27,440.6,437.86,438.76,438.15,2328662,2328662,-1.51,-0.34297,439.3725,"January 23, 24",-0.0034297
2024-01-22,438.98,440.94,437.26,439.75,439.14,2715618,2715618,0.77,0.17541,439.2325,"January 22, 24",0.0017541
2024-01-19,432.55,437.07,429.34,436.78,436.18,2400409,2400409,4.23,0.97792,433.935,"January 19, 24",0.0097792
2024-01-18,428.64,431.22,427.45,430.72,430.12,2075759,2075759,2.08,0.48526,429.5075,"January 18, 24",0.0048526
2024-01-17,425.48,430.38,425.48,427.42,426.83,2690522,2690522,1.94,0.45596,427.19,"January 17, 24",0.0045596
2024-01-16,427.44,429.73,426.52,428.35,427.76,2397988,2397988,0.91,0.2129,428.01,"January 16, 24",0.002129
2024-01-12,429.95,431.11,427.7,429.1,428.51,1892426,1892426,-0.85,-0.1977,429.465,"January 12, 24",-0.001977
2024-01-11,430.0,431.79,425.77,426.72,426.13,2320769,2320769,-3.28,-0.76279,428.57,"January 11, 24",-0.0076279
2024-01-10,426.0,429.47,424.15,428.27,427.68,2709369,2709369,2.27,0.53286,426.9725,"January 10, 24",0.0053286
2024-01-09,419.1,423.7,418.54,422.6,422.02,2439387,2439387,3.5,0.83512,420.985,"January 09, 24",0.0083512
2024-01-08,419.44,422.08,416.53,421.98,421.4,2125446,2125446,2.54,0.60557,420.0075,"January 08, 24",0.0060557
2024-01-05,420.49,422.76,416.99,419.42,418.18,2416004,2416004,-1.07,-0.25447,419.915,"January 05, 24",-0.0025447
2024-01-04,418.5,423.45,418.28,419.77,418.53,2042551,2042551,1.27,0.30346,420.0,"January 04, 24",0.0030346
2024-01-03,421.2,421.34,417.5,418.77,417.53,3093684,3093684,-2.43,-0.57692,419.7025,"January 03, 24",-0.0057692
2024-01-02,424.09,424.28,419.56,421.89,420.64,2463746,2463746,-2.2,-0.51876,422.455,"January 02, 24",-0.0051876
2023-12-29,426.68,428.35,424.27,426.51,425.25,1706284,1706284,-0.17,-0.0398425,426.4525,"December 29, 23",-0.000398425
2023-12-28,423.77,428.36,423.68,426.32,425.06,1505039,1505039,2.55,0.60174,425.5325,"December 28, 23",0.0060174
2023-12-27,423.0,425.01,422.96,424.36,423.11,1324203,1324203,1.36,0.32151,423.8325,"December 27, 23",0.0032151
2023-12-26,425.0,425.72,422.95,423.67,422.42,1258302,1258302,-1.33,-0.31294,424.335,"December 26, 23",-0.0031294
2023-12-22,424.75,427.17,422.96,424.1,422.85,1759004,1759004,-0.65,-0.15303,424.745,"December 22, 23",-0.0015303
2023-12-21,421.79,423.9,420.61,423.44,422.19,2213253,2213253,1.65,0.39119,422.435,"December 21, 23",0.0039119
2023-12-20,425.08,427.61,419.24,419.45,418.21,3058344,3058344,-5.63,-1.32,422.845,"December 20, 23",-0.0132
2023-12-19,424.05,426.68,422.52,425.47,424.21,2256348,2256348,1.42,0.33487,424.68,"December 19, 23",0.0033487
2023-12-18,419.53,425.09,419.53,424.43,423.18,2686978,2686978,4.9,1.17,422.145,"December 18, 23",0.0117
2023-12-15,412.62,419.26,411.6,418.57,417.33,5566617,5566617,5.95,1.44,415.5125,"December 15, 23",0.0144
2023-12-14,425.01,425.85,415.9,418.56,417.32,3989825,3989825,-6.45,-1.52,421.33,"December 14, 23",-0.0152
2023-12-13,421.86,426.37,419.15,424.68,423.43,3694400,3694400,2.82,0.66847,423.015,"December 13, 23",0.0066847
2023-12-12,417.0,421.0,414.7,420.75,419.51,2736706,2736706,3.75,0.89928,418.3625,"December 12, 23",0.0089928
2023-12-11,412.46,416.17,412.38,415.71,414.48,2235989,2235989,3.25,0.78796,414.18,"December 11, 23",0.0078796
2023-12-08,412.22,413.67,409.23,412.16,410.94,1959438,1959438,-0.06,-0.01455533,411.82,"December 08, 23",-0.0001455533
2023-12-07,412.07,413.57,409.99,413.15,411.93,2363020,2363020,1.08,0.26209,412.195,"December 07, 23",0.0026209
2023-12-06,411.43,413.82,407.16,410.38,409.17,2224303,2224303,-1.05,-0.25521,410.6975,"December 06, 23",-0.0025521
2023-12-05,407.09,409.05,404.32,408.69,407.48,2755635,2755635,1.6,0.39303,407.2875,"December 05, 23",0.0039303
2023-12-04,413.83,414.85,408.03,408.23,407.02,3097946,3097946,-5.6,-1.35,411.235,"December 04, 23",-0.0135
