date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,71.89,71.97,71.16,71.23,71.23,3749686,3749686,-0.66,-0.91807,71.5625,"May 17, 24",-0.0091807
2024-05-16,71.33,72.03,71.31,71.92,71.92,5330064,5330064,0.59,0.82714,71.6475,"May 16, 24",0.0082714
2024-05-15,71.96,72.11,71.28,71.33,71.33,5926140,5926140,-0.63,-0.87549,71.67,"May 15, 24",-0.0087549
2024-05-14,72,72.06,71.28,71.93,71.93,4924721,4924721,-0.07,-0.09722222,71.8175,"May 14, 24",-0.0009722222
2024-05-13,71.48,71.94,71.21,71.76,71.76,5541493,5541493,0.28,0.39172,71.5975,"May 13, 24",0.0039172
2024-05-10,70.05,71.29,69.96,71.2,71.2,5363903,5363903,1.15,1.64,70.625,"May 10, 24",0.0164
2024-05-09,70.64,70.64,69.92,70.2,70.2,5201669,5201669,-0.44,-0.62288,70.35,"May 09, 24",-0.0062288
2024-05-08,70.89,71.06,70.14,70.43,70.43,6514857,6514857,-0.46,-0.64889,70.63,"May 08, 24",-0.0064889
2024-05-07,70.34,70.94,70.04,70.89,70.89,4316384,4316384,0.55,0.78192,70.5525,"May 07, 24",0.0078192
2024-05-06,70.07,70.13,69.27,69.93,69.93,5653400,5653400,-0.14,-0.1998,69.85,"May 06, 24",-0.001998
2024-05-03,70.68,70.74,69.33,69.89,69.89,8093601,8093601,-0.79,-1.12,70.16,"May 03, 24",-0.0112
2024-05-02,70.86,71.26,70.45,70.5,70.5,7423315,7423315,-0.36,-0.50804,70.7675,"May 02, 24",-0.0050804
2024-05-01,71.76,71.85,69.48,70.69,70.69,11297451,11297451,-1.07,-1.49,70.945,"May 01, 24",-0.0149
2024-04-30,72.03,72.64,71.82,71.94,71.94,11058445,11058445,-0.09,-0.12495,72.1075,"April 30, 24",-0.0012495
2024-04-29,70.75,71.85,70.74,71.83,71.83,8544752,8544752,1.08,1.53,71.2925,"April 29, 24",0.0153
2024-04-26,70.31,71.14,70.24,70.61,70.61,7145125,7145125,0.3,0.42668,70.575,"April 26, 24",0.0042668
2024-04-25,71.29,71.5,70.58,70.8,70.8,10654106,10654106,-0.49,-0.68733,71.0425,"April 25, 24",-0.0068733
2024-04-24,69.91,71.54,69.86,71.31,71.31,16596946,16596946,1.4,2,70.655,"April 24, 24",0.02
2024-04-23,69.25,70.78,69.23,70.75,70.75,15893877,15893877,1.5,2.17,70.0025,"April 23, 24",0.0217
2024-04-22,68.26,69.43,68.23,69.41,69.41,10426853,10426853,1.15,1.68,68.8325,"April 22, 24",0.0168
2024-04-19,67.42,68.16,67.09,68.11,68.11,11020832,11020832,0.69,1.02,67.695,"April 19, 24",0.0102
2024-04-18,66.66,67.33,66.55,67.17,67.17,8695698,8695698,0.51,0.76508,66.9275,"April 18, 24",0.0076508
2024-04-17,66.23,66.66,66,66.51,66.51,6755530,6755530,0.28,0.42277,66.35,"April 17, 24",0.0042277
2024-04-16,66.04,66.15,65.5,65.98,65.98,8581275,8581275,-0.06,-0.09085403,65.9175,"April 16, 24",-0.0009085403
2024-04-15,67.27,67.38,65.22,65.87,65.87,10783549,10783549,-1.4,-2.08,66.435,"April 15, 24",-0.0208
2024-04-12,66.36,66.73,66.01,66.69,66.69,7433559,7433559,0.33,0.49729,66.4475,"April 12, 24",0.0049729
2024-04-11,66.85,67.25,66.21,66.78,66.78,11259642,11259642,-0.07,-0.10471,66.7725,"April 11, 24",-0.0010471
2024-04-10,67.31,67.52,66.32,66.68,66.68,6858616,6858616,-0.63,-0.93597,66.9575,"April 10, 24",-0.0093597
2024-04-09,67.93,67.97,67.34,67.86,67.86,8120018,8120018,-0.07,-0.10305,67.775,"April 09, 24",-0.0010305
2024-04-08,68,68.32,67.53,67.6,67.6,8835206,8835206,-0.4,-0.58824,67.8625,"April 08, 24",-0.0058824
2024-04-05,67.96,68.43,67.64,67.99,67.99,10258467,10258467,0.03,0.04414361,68.005,"April 05, 24",0.0004414361
2024-04-04,68.55,68.67,67.92,68.21,68.21,13595034,13595034,-0.34,-0.49599,68.3375,"April 04, 24",-0.0049599
2024-04-03,68.98,69.09,67.89,67.97,67.97,8755343,8755343,-1.01,-1.46,68.4825,"April 03, 24",-0.0146
2024-04-02,69.8,70.03,69.11,69.26,69.26,6886141,6886141,-0.54,-0.77364,69.55,"April 02, 24",-0.0077364
2024-04-01,70.15,70.15,69.11,69.76,69.76,8426064,8426064,-0.385,-0.55595,69.7925,"April 01, 24",-0.0055595
2024-03-28,70.47,70.58,69.83,70,70,9931071,9931071,-0.47,-0.66695,70.22,"March 28, 24",-0.0066695
2024-03-27,70.05,70.35,69.83,70.1,70.1,7119577,7119577,0.05,0.07137759,70.0825,"March 27, 24",0.0007137759
2024-03-26,70.69,70.82,69.69,70.04,69.62,11413142,11413142,-0.65,-0.91951,70.31,"March 26, 24",-0.0091951
2024-03-25,72.64,72.66,70.84,70.85,70.42,6786778,6786778,-1.79,-2.46,71.7475,"March 25, 24",-0.0246
2024-03-22,72.26,72.7,71.95,72.4,71.96,6006016,6006016,0.14,0.19374,72.3275,"March 22, 24",0.0019374
2024-03-21,72,72.36,71.51,72.21,71.77,5859193,5859193,0.21,0.29167,72.02,"March 21, 24",0.0029167
2024-03-20,72.3,72.57,71.29,71.87,71.43,6714039,6714039,-0.43,-0.59474,72.0075,"March 20, 24",-0.0059474
2024-03-19,71.66,72.44,71.56,72.25,71.81,9590891,9590891,0.59,0.82333,71.9775,"March 19, 24",0.0082333
2024-03-18,71,71.6,70.82,71.31,70.88,8754453,8754453,0.31,0.43662,71.1825,"March 18, 24",0.0043662
2024-03-15,71,71.06,70.14,70.75,70.32,16858275,16858275,-0.25,-0.35211,70.7375,"March 15, 24",-0.0035211
2024-03-14,71.4,71.51,70.49,70.96,70.53,7898506,7898506,-0.44,-0.61625,71.09,"March 14, 24",-0.0061625
2024-03-13,72.06,72.24,71.41,71.49,71.06,6781121,6781121,-0.57,-0.79101,71.8,"March 13, 24",-0.0079101
2024-03-12,72.21,72.38,71.6,71.74,71.3,5862264,5862264,-0.47,-0.65088,71.9825,"March 12, 24",-0.0065088
2024-03-11,71.9,72.59,71.89,72.4,71.96,5065303,5065303,0.5,0.69541,72.195,"March 11, 24",0.0069541
2024-03-08,70.72,72.24,70.37,71.85,71.41,7227640,7227640,1.13,1.6,71.295,"March 08, 24",0.016
2024-03-07,71.81,71.99,70.93,71,70.57,8339462,8339462,-0.81,-1.13,71.4325,"March 07, 24",-0.0113
