date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,26.11,26.62,25.94,26.28,26.28,9576,9576,0.175,0.65109,26.2375,"July 01, 24",0.0065109
2024-06-28,25.91,26.25,25.89,26.1,26.1,3266,3266,0.19,0.73331,26.0375,"June 28, 24",0.0073331
2024-06-27,25.65,25.99,25.26,25.99,25.99,11809,11809,0.34,1.33,25.7225,"June 27, 24",0.0133
2024-06-26,26.22,26.32,25.34,25.65,25.65,9685,9685,-0.57,-2.17,25.8825,"June 26, 24",-0.0217
2024-06-25,26.45,26.52,26.08,26.14,26.14,8813,8813,-0.305,-1.17,26.2975,"June 25, 24",-0.0117
2024-06-24,25.91,26.43,25.83,26.42,26.42,9897,9897,0.515,1.97,26.1475,"June 24, 24",0.0197
2024-06-21,25.9,26.1,25.81,25.86,25.86,4774,4774,-0.035,-0.15444,25.9175,"June 21, 24",-0.0015444
2024-06-20,25.54,26.12,25.38,25.91,25.91,7978,7978,0.375,1.45,25.7375,"June 20, 24",0.0145
2024-06-19,25.47,25.65,25.41,25.48,25.48,3066,3066,0.01,0.03926188,25.5025,"June 19, 24",0.0003926188
2024-06-18,25.08,25.54,25.08,25.54,25.54,10282,10282,0.465,1.83,25.31,"June 18, 24",0.0183
2024-06-17,26.0,26.05,25.07,25.16,25.16,12803,12803,-0.84,-3.23,25.57,"June 17, 24",-0.0323
2024-06-14,25.69,26.38,25.63,25.73,25.73,9780,9780,0.045,0.1557,25.8575,"June 14, 24",0.001557
2024-06-13,25.64,25.8,25.26,25.72,25.72,19913,19913,0.085,0.31201,25.605,"June 13, 24",0.0031201
2024-06-12,26.06,26.23,25.48,25.59,25.59,25044,25044,-0.465,-1.8,25.84,"June 12, 24",-0.018
2024-06-11,26.16,26.26,26.03,26.08,26.08,5007,5007,-0.075,-0.30581,26.1325,"June 11, 24",-0.0030581
2024-06-10,26.63,26.7,25.74,26.16,26.16,11519,11519,-0.47,-1.76,26.3075,"June 10, 24",-0.0176
2024-06-07,26.69,26.85,26.44,26.45,26.45,16520,16520,-0.24,-0.89921,26.6075,"June 07, 24",-0.0089921
2024-06-06,27.22,27.23,26.44,26.49,26.49,7770,7770,-0.73,-2.68,26.845,"June 06, 24",-0.0268
2024-06-05,27.28,27.28,26.88,27.23,27.23,8396,8396,-0.055,-0.18328,27.1675,"June 05, 24",-0.0018328
2024-06-04,26.96,27.33,26.86,27.06,27.06,19956,19956,0.1,0.37092,27.0525,"June 04, 24",0.0037092
2024-06-03,26.68,27.04,26.1,26.87,26.87,17300,17300,0.19,0.71214,26.6725,"June 03, 24",0.0071214
2024-05-31,25.93,26.5,25.93,26.34,26.34,6122,6122,0.405,1.58,26.175,"May 31, 24",0.0158
2024-05-30,25.75,25.94,25.65,25.87,25.87,16847,16847,0.125,0.46602,25.8025,"May 30, 24",0.0046602
2024-05-29,25.97,26.13,25.58,25.8,25.8,11273,11273,-0.17,-0.6546,25.87,"May 29, 24",-0.006546
2024-05-28,26.69,26.69,25.89,26.09,26.09,20083,20083,-0.605,-2.25,26.34,"May 28, 24",-0.0225
2024-05-27,26.61,26.9,26.58,26.72,26.72,6661,6661,0.11,0.41338,26.7025,"May 27, 24",0.0041338
2024-05-24,26.51,26.7,26.33,26.62,26.62,8328,8328,0.115,0.41494,26.54,"May 24, 24",0.0041494
2024-05-23,27.39,27.6,26.55,26.56,26.56,21326,21326,-0.83,-3.03,27.025,"May 23, 24",-0.0303
2024-05-22,26.39,27.37,26.21,27.37,27.37,16255,16255,0.975,3.71,26.835,"May 22, 24",0.0371
2024-05-21,26.31,26.41,26.09,26.38,26.38,5076,5076,0.07,0.26606,26.2975,"May 21, 24",0.0026606
2024-05-20,26.45,26.45,26.21,26.21,26.21,5162,5162,-0.245,-0.90737,26.33,"May 20, 24",-0.0090737
2024-05-17,26.7,26.81,26.23,26.31,26.31,9705,9705,-0.39,-1.46,26.5125,"May 17, 24",-0.0146
2024-05-16,26.4,26.7,26.39,26.66,26.66,15314,15314,0.26,0.98485,26.5375,"May 16, 24",0.0098485
2024-05-15,26.24,26.66,26.18,26.5,26.5,13495,13495,0.265,0.99085,26.395,"May 15, 24",0.0099085
2024-05-14,26.31,26.53,26.06,26.24,26.24,10390,10390,-0.075,-0.26606,26.285,"May 14, 24",-0.0026606
2024-05-13,26.1,26.54,25.77,26.4,26.4,18711,18711,0.305,1.15,26.2025,"May 13, 24",0.0115
2024-05-10,26.2,26.21,25.95,26.01,26.01,12111,12111,-0.185,-0.72519,26.0925,"May 10, 24",-0.0072519
2024-05-09,26.02,26.34,25.39,26.19,26.19,12232,12232,0.17,0.65334,25.985,"May 09, 24",0.0065334
2024-05-08,25.65,26.38,25.63,26.33,25.94,12827,12827,0.68,2.65,25.9975,"May 08, 24",0.0265
2024-05-07,26.28,26.35,25.48,25.81,25.43,15067,15067,-0.465,-1.79,25.98,"May 07, 24",-0.0179
2024-05-06,25.97,26.27,25.79,26.27,25.88,15271,15271,0.3,1.16,26.075,"May 06, 24",0.0116
2024-05-03,25.98,26.06,25.56,25.83,25.44,12013,12013,-0.15,-0.57737,25.8575,"May 03, 24",-0.0057737
2024-05-02,25.3,26.07,25.16,25.82,25.44,59693,59693,0.52,2.06,25.5875,"May 02, 24",0.0206
2024-04-30,24.05,24.25,23.94,24.04,23.68,13432,13432,-0.01,-0.04158004,24.07,"April 30, 24",-0.0004158004
2024-04-29,23.89,24.17,23.79,23.87,23.52,14098,14098,-0.015,-0.08371704,23.93,"April 29, 24",-0.0008371704
2024-04-26,23.76,23.88,23.6,23.75,23.4,16653,16653,-0.005,-0.04208754,23.7475,"April 26, 24",-0.0004208754
2024-04-25,24.52,24.71,23.56,23.59,23.24,40415,40415,-0.925,-3.79,24.095,"April 25, 24",-0.0379
2024-04-24,24.67,24.76,24.35,24.55,24.19,9098,9098,-0.115,-0.48642,24.5825,"April 24, 24",-0.0048642
2024-04-23,24.73,24.8,24.48,24.62,24.26,5864,5864,-0.105,-0.4448,24.6575,"April 23, 24",-0.004448
2024-04-22,24.39,24.88,24.28,24.74,24.37,12173,12173,0.345,1.44,24.5725,"April 22, 24",0.0144
2024-04-19,23.84,24.4,23.72,24.4,24.03,10806,10806,0.56,2.35,24.09,"April 19, 24",0.0235
2024-04-18,23.85,23.98,23.72,23.84,23.49,12175,12175,-0.005,-0.04192872,23.8475,"April 18, 24",-0.0004192872
2024-04-17,24.22,24.3,23.75,23.87,23.52,27186,27186,-0.345,-1.45,24.035,"April 17, 24",-0.0145
2024-04-16,24.46,24.46,24.22,24.23,23.87,9612,9612,-0.23,-0.94031,24.3425,"April 16, 24",-0.0094031
2024-04-15,24.36,24.6,24.21,24.41,24.05,15656,15656,0.055,0.20525,24.395,"April 15, 24",0.0020525
2024-04-12,24.73,24.78,24.29,24.34,23.97,11220,11220,-0.395,-1.58,24.535,"April 12, 24",-0.0158
2024-04-11,24.58,24.63,24.4,24.56,24.2,8836,8836,-0.015,-0.08136697,24.5425,"April 11, 24",-0.0008136697
2024-04-10,24.72,24.75,24.33,24.51,24.14,65109,65109,-0.215,-0.84951,24.5775,"April 10, 24",-0.0084951
2024-04-09,24.49,25.22,24.46,24.6,24.23,77894,77894,0.115,0.44916,24.6925,"April 09, 24",0.0044916
2024-04-08,24.72,24.72,24.51,24.51,24.15,61791,61791,-0.21,-0.84951,24.615,"April 08, 24",-0.0084951
2024-04-05,24.6,24.89,24.34,24.6,24.23,106333,106333,0.005,0.0,24.6075,"April 05, 24",0.0
2024-04-04,25.12,25.2,24.57,24.65,24.28,59736,59736,-0.47,-1.87,24.885,"April 04, 24",-0.0187
2024-04-03,25.62,25.63,25.12,25.21,24.83,56369,56369,-0.415,-1.6,25.395,"April 03, 24",-0.016
2024-04-02,25.84,26.0,25.48,25.63,25.24,68248,68248,-0.215,-0.81269,25.7375,"April 02, 24",-0.0081269
