date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,23.65,23.67,23.3,23.45,23.45,1187667,1187667,-0.2,-0.84567,23.5175,"July 01, 24",-0.0084567
2024-06-28,23.93,23.93,23.52,23.59,23.59,1717055,1717055,-0.34,-1.42,23.7425,"June 28, 24",-0.0142
2024-06-27,24.15,24.15,23.82,23.9,23.9,1826771,1826771,-0.25,-1.04,24.005,"June 27, 24",-0.0104
2024-06-26,23.88,24.56,23.88,24.06,24.06,1721650,1721650,0.18,0.75377,24.095,"June 26, 24",0.0075377
2024-06-25,24.16,24.28,23.77,23.78,23.78,1670289,1670289,-0.38,-1.57,23.9975,"June 25, 24",-0.0157
2024-06-24,24.37,24.65,24.29,24.55,24.55,1093566,1093566,0.18,0.73861,24.465,"June 24, 24",0.0073861
2024-06-21,24.58,24.78,24.45,24.53,24.53,3203274,3203274,-0.049999,-0.20342,24.585,"June 21, 24",-0.0020342
2024-06-20,24.21,24.59,24.21,24.54,24.54,1453074,1453074,0.33,1.36,24.3875,"June 20, 24",0.0136
2024-06-19,24.02,24.15,23.86,24.1,24.1,1149506,1149506,0.08,0.33306,24.0325,"June 19, 24",0.0033306
2024-06-18,23.96,24.13,23.71,24.1,24.1,1653559,1653559,0.14,0.58431,23.975,"June 18, 24",0.0058431
2024-06-17,24.09,24.13,23.57,23.86,23.86,1593829,1593829,-0.23,-0.95475,23.9125,"June 17, 24",-0.0095475
2024-06-14,24.15,24.26,23.89,24.11,24.11,1308079,1308079,-0.039999,-0.16563,24.1025,"June 14, 24",-0.0016563
2024-06-13,24.35,24.39,24.04,24.14,24.14,1475295,1475295,-0.21,-0.86242,24.23,"June 13, 24",-0.0086242
2024-06-12,24.4,24.61,24.17,24.55,24.55,1238318,1238318,0.15,0.61475,24.4325,"June 12, 24",0.0061475
2024-06-11,24.52,24.65,24.24,24.37,24.37,1225928,1225928,-0.15,-0.61175,24.445,"June 11, 24",-0.0061175
2024-06-10,24.22,24.45,24.08,24.45,24.45,1230454,1230454,0.23,0.94963,24.3,"June 10, 24",0.0094963
2024-06-07,24.25,24.75,24.19,24.38,24.38,1480056,1480056,0.13,0.53608,24.3925,"June 07, 24",0.0053608
2024-06-06,24.38,24.38,23.96,24.2,24.2,1343800,1343800,-0.18,-0.73831,24.23,"June 06, 24",-0.0073831
2024-06-05,24.44,24.49,24.01,24.28,24.28,1942720,1942720,-0.16,-0.65466,24.305,"June 05, 24",-0.0065466
2024-06-04,24.49,24.54,24.18,24.38,24.38,2079882,2079882,-0.11,-0.44916,24.3975,"June 04, 24",-0.0044916
2024-06-03,25.01,25.05,24.5,24.57,24.57,2145319,2145319,-0.44,-1.76,24.7825,"June 03, 24",-0.0176
2024-05-31,25.1,25.18,24.85,24.88,24.88,3534289,3534289,-0.22,-0.87649,25.0025,"May 31, 24",-0.0087649
2024-05-30,25.2,25.34,25.08,25.24,25.24,1714581,1714581,0.039999,0.15873,25.215,"May 30, 24",0.0015873
2024-05-29,25.07,25.34,25.0,25.34,25.34,2101008,2101008,0.27,1.08,25.1875,"May 29, 24",0.0108
2024-05-28,25.0,25.36,25.0,25.23,25.23,1714515,1714515,0.23,0.92,25.1475,"May 28, 24",0.0092
2024-05-27,24.97,24.98,24.86,24.98,24.98,532135,532135,0.010001,0.04004806,24.9475,"May 27, 24",0.0004004806
2024-05-24,24.42,24.97,24.3,24.97,24.97,1933352,1933352,0.55,2.25,24.665,"May 24, 24",0.0225
2024-05-23,25.34,25.35,24.7,24.7,24.7,1772433,1772433,-0.64,-2.53,25.0225,"May 23, 24",-0.0253
2024-05-22,25.11,25.28,24.94,25.28,25.28,1384595,1384595,0.17,0.67702,25.1525,"May 22, 24",0.0067702
2024-05-21,25.34,25.38,25.02,25.34,25.34,1269517,1269517,0.0,0.0,25.27,"May 21, 24",0.0
2024-05-20,25.72,25.91,25.27,25.4,25.4,1279782,1279782,-0.32,-1.24,25.575,"May 20, 24",-0.0124
2024-05-17,25.26,25.93,25.26,25.87,25.87,3193002,3193002,0.61,2.41,25.58,"May 17, 24",0.0241
2024-05-16,25.26,25.65,25.22,25.41,25.41,1866825,1866825,0.15,0.59382,25.385,"May 16, 24",0.0059382
2024-05-15,25.04,25.42,24.97,25.25,25.25,1277735,1277735,0.21,0.83866,25.17,"May 15, 24",0.0083866
2024-05-14,25.07,25.23,24.91,25.09,25.09,2175805,2175805,0.02,0.07977663,25.075,"May 14, 24",0.0007977663
2024-05-13,25.25,25.58,25.01,25.24,25.24,3276868,3276868,-0.01,-0.03960396,25.27,"May 13, 24",-0.0003960396
2024-05-10,24.64,24.97,24.6,24.88,24.88,3679276,3679276,0.24,0.97403,24.7725,"May 10, 24",0.0097403
2024-05-09,24.08,24.64,23.9,24.57,24.57,3420173,3420173,0.49,2.03,24.2975,"May 09, 24",0.0203
2024-05-08,23.84,23.96,23.39,23.55,23.55,2687013,2687013,-0.29009,-1.22,23.685,"May 08, 24",-0.0122
2024-05-07,24.2,24.27,23.85,23.99,23.99,2928515,2928515,-0.21273,-0.86777,24.0775,"May 07, 24",-0.0086777
2024-05-06,24.18,24.26,23.94,24.02,24.02,2431566,2431566,-0.16438,-0.6617,24.1,"May 06, 24",-0.006617
2024-05-03,23.79,24.17,23.78,24.01,24.01,2998933,2998933,0.22053,0.92476,23.9375,"May 03, 24",0.0092476
2024-05-02,24.28,24.39,23.95,24.19,24.19,3747426,3747426,-0.08702755,-0.37068,24.2025,"May 02, 24",-0.0037068
2024-04-30,24.46,24.86,24.14,24.42,24.42,7897374,7897374,-0.04834714,-0.16353,24.47,"April 30, 24",-0.0016353
2024-04-29,26.16,28.14,24.17,24.7,24.7,18358798,18358798,-1.46,-5.58,25.7925,"April 29, 24",-0.0558
2024-04-26,18.76,19.18,18.59,19.09,19.09,2952592,2952592,0.32877,1.76,18.905,"April 26, 24",0.0176
2024-04-25,18.95,19.0,18.61,18.63,18.63,2693200,2693200,-0.3191,-1.69,18.7975,"April 25, 24",-0.0169
2024-04-24,19.02,19.23,18.89,18.97,18.97,2404660,2404660,-0.05318098,-0.26288,19.0275,"April 24, 24",-0.0026288
2024-04-23,18.76,18.98,18.75,18.95,18.95,2752775,2752775,0.19339,1.01,18.86,"April 23, 24",0.0101
