date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,21.78,22.17,21.56,21.76,21.76,29800847,29800847,-0.02,-0.09182736,21.8175,"May 17, 24",-0.0009182736
2024-05-16,21.74,21.87,21.54,21.65,21.65,27416677,27416677,-0.09,-0.41398,21.7,"May 16, 24",-0.0041398
2024-05-15,21.73,21.81,21.19,21.67,21.67,39424029,39424029,-0.06,-0.27612,21.6,"May 15, 24",-0.0027612
2024-05-14,20.95,22.07,20.93,21.44,21.44,57894354,57894354,0.49,2.34,21.3475,"May 14, 24",0.0234
2024-05-13,20.6,21.19,20.6,20.94,20.94,37524809,37524809,0.34,1.65,20.8325,"May 13, 24",0.0165
2024-05-10,21.27,21.37,20.5,20.6,20.6,59845413,59845413,-0.67,-3.15,20.935,"May 10, 24",-0.0315
2024-05-09,21.49,21.58,20.94,21.14,21.14,54101937,54101937,-0.35,-1.63,21.2875,"May 09, 24",-0.0163
2024-05-08,21.58,21.73,21.06,21.56,21.56,67582882,67582882,-0.02,-0.09267841,21.4825,"May 08, 24",-0.0009267841
2024-05-07,21.99,22.7,21.35,21.4,21.4,161061622,161061622,-0.59,-2.68,21.86,"May 07, 24",-0.0268
2024-05-06,24.37,25.36,24.03,25.21,25.21,175936565,175936565,0.84,3.45,24.7425,"May 06, 24",0.0345
2024-05-03,23.48,23.64,22.91,23.33,23.33,55976409,55976409,-0.15,-0.63884,23.34,"May 03, 24",-0.0063884
2024-05-02,22.6,22.72,22.1,22.55,22.55,30396133,30396133,-0.05,-0.22124,22.4925,"May 02, 24",-0.0022124
2024-05-01,21.93,22.83,21.63,22.12,22.12,34812852,34812852,0.19,0.86639,22.1275,"May 01, 24",0.0086639
2024-04-30,22.77,22.87,21.95,21.97,21.97,30511879,30511879,-0.8,-3.51,22.39,"April 30, 24",-0.0351
2024-04-29,22.75,23.09,22.55,22.83,22.83,30330698,30330698,0.08,0.35165,22.805,"April 29, 24",0.0035165
2024-04-26,22.05,22.67,21.91,22.52,22.52,33119766,33119766,0.47,2.13,22.2875,"April 26, 24",0.0213
2024-04-25,20.82,21.74,20.66,21.71,21.71,26226705,26226705,0.89,4.27,21.2325,"April 25, 24",0.0427
2024-04-24,22.05,22.25,21.3,21.59,21.59,34426476,34426476,-0.46,-2.09,21.7975,"April 24, 24",-0.0209
2024-04-23,21.25,22.06,21.23,21.64,21.64,36304634,36304634,0.39,1.84,21.545,"April 23, 24",0.0184
2024-04-22,20.72,21.08,20.36,20.97,20.97,31894517,31894517,0.25,1.21,20.7825,"April 22, 24",0.0121
2024-04-19,20.98,21.43,20.33,20.47,20.47,39632591,39632591,-0.51,-2.43,20.8025,"April 19, 24",-0.0243
2024-04-18,21.25,21.43,20.7,21.13,21.13,34550542,34550542,-0.12,-0.56471,21.1275,"April 18, 24",-0.0056471
2024-04-17,22.01,22.11,21.22,21.31,21.31,30139797,30139797,-0.7,-3.18,21.6625,"April 17, 24",-0.0318
2024-04-16,21.59,21.99,21.27,21.88,21.88,33869201,33869201,0.29,1.34,21.6825,"April 16, 24",0.0134
2024-04-15,22.79,23.13,21.83,21.9,21.9,38182078,38182078,-0.89,-3.91,22.4125,"April 15, 24",-0.0391
2024-04-12,22.7,23.2,22.41,22.67,22.67,36764458,36764458,-0.03,-0.13216,22.745,"April 12, 24",-0.0013216
2024-04-11,22.65,22.91,22.25,22.84,22.84,26399380,26399380,0.19,0.83885,22.6625,"April 11, 24",0.0083885
2024-04-10,22.22,22.71,22.01,22.42,22.42,28642932,28642932,0.2,0.90009,22.34,"April 10, 24",0.0090009
2024-04-09,23.01,23.09,22.46,22.81,22.81,27724525,27724525,-0.2,-0.86919,22.8425,"April 09, 24",-0.0086919
2024-04-08,23.08,23.2,22.67,23,23,25022708,25022708,-0.08,-0.34662,22.9875,"April 08, 24",-0.0034662
2024-04-05,22.42,23.32,22.31,22.96,22.96,38716824,38716824,0.54,2.41,22.7525,"April 05, 24",0.0241
2024-04-04,23.82,24.1,22.4,22.48,22.48,64995295,64995295,-1.34,-5.63,23.2,"April 04, 24",-0.0563
2024-04-03,22.44,23.01,22.38,22.7,22.7,30357412,30357412,0.26,1.16,22.6325,"April 03, 24",0.0116
2024-04-02,22,22.79,21.72,22.72,22.72,39770573,39770573,0.72,3.27,22.3075,"April 02, 24",0.0327
2024-04-01,22.98,23.21,22.4,22.86,22.86,41000029,41000029,-0.12,-0.52219,22.8625,"April 01, 24",-0.0052219
2024-03-28,24.17,24.28,22.94,23.01,23.01,70008165,70008165,-1.16,-4.8,23.6,"March 28, 24",-0.048
2024-03-27,25,25.48,24.26,24.51,24.51,38600086,38600086,-0.49,-1.96,24.8125,"March 27, 24",-0.0196
2024-03-26,24.76,25.47,24.47,24.89,24.89,43610464,43610464,0.13,0.52504,24.8975,"March 26, 24",0.0052504
