date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,58.36,58.37,57.03,57.81,57.81,12237467,12237467,-0.55,-0.94243,57.8925,"July 01, 24",-0.0094243
2024-06-28,58.32,58.76,57.9,58.03,58.03,28102011,28102011,-0.29,-0.49726,58.2525,"June 28, 24",-0.0049726
2024-06-27,58.48,58.49,57.21,58.37,58.37,11648923,11648923,-0.11,-0.1881,58.1375,"June 27, 24",-0.001881
2024-06-26,59.74,59.75,58.03,58.26,58.26,12599367,12599367,-1.48,-2.48,58.945,"June 26, 24",-0.0248
2024-06-25,59.57,59.57,58.97,59.33,59.33,9359170,9359170,-0.24,-0.40289,59.36,"June 25, 24",-0.0040289
2024-06-24,60.0,60.56,59.46,59.49,59.49,10464729,10464729,-0.51,-0.85,59.8775,"June 24, 24",-0.0085
2024-06-21,59.92,60.76,59.67,60.61,60.61,18888289,18888289,0.69,1.15,60.24,"June 21, 24",0.0115
2024-06-20,59.25,60.0,58.79,59.8,59.8,12928493,12928493,0.55,0.92827,59.46,"June 20, 24",0.0092827
2024-06-18,59.92,60.11,59.03,59.12,59.12,13500311,13500311,-0.8,-1.34,59.545,"June 18, 24",-0.0134
2024-06-17,60.37,60.64,59.48,60.13,60.13,13558487,13558487,-0.24,-0.39755,60.155,"June 17, 24",-0.0039755
2024-06-14,61.29,61.64,60.31,60.64,60.64,10366037,10366037,-0.655,-1.06,60.97,"June 14, 24",-0.0106
2024-06-13,63.12,63.63,61.52,61.54,61.54,11985383,11985383,-1.58,-2.5,62.4525,"June 13, 24",-0.025
2024-06-12,65.46,65.86,62.9,63.43,63.43,14137513,14137513,-2.03,-3.1,64.4125,"June 12, 24",-0.031
2024-06-11,67.13,67.15,64.41,64.77,64.77,15108667,15108667,-2.36,-3.52,65.865,"June 11, 24",-0.0352
2024-06-10,66.97,67.49,65.8,67.09,67.09,11978817,11978817,0.12,0.17918,66.8375,"June 10, 24",0.0017918
2024-06-07,66.5,68.3,66.2,67.3,67.3,13194960,13194960,0.8,1.2,67.075,"June 07, 24",0.012
2024-06-06,64.29,67.82,64.17,67.02,67.02,22068792,22068792,2.73,4.25,65.825,"June 06, 24",0.0425
2024-06-05,63.76,63.81,62.85,63.53,63.53,8846106,8846106,-0.23,-0.36073,63.4875,"June 05, 24",-0.0036073
2024-06-04,63.14,64.13,63.03,63.33,63.33,9046058,9046058,0.19,0.30092,63.4075,"June 04, 24",0.0030092
2024-06-03,63.04,63.52,62.58,63.46,63.46,9039816,9039816,0.42,0.66624,63.15,"June 03, 24",0.0066624
2024-05-31,62.73,63.56,61.77,62.99,62.99,14269038,14269038,0.26,0.41447,62.7625,"May 31, 24",0.0041447
2024-05-30,62.77,63.34,62.13,62.51,62.51,11874710,11874710,-0.26,-0.41421,62.6875,"May 30, 24",-0.0041421
2024-05-29,61.23,61.59,60.85,61.05,61.05,8142812,8142812,-0.18,-0.29397,61.18,"May 29, 24",-0.0029397
2024-05-28,62.3,62.87,61.75,62.17,62.17,11159562,11159562,-0.13,-0.20867,62.2725,"May 28, 24",-0.0020867
2024-05-24,61.95,62.06,61.27,61.64,61.64,8176776,8176776,-0.31,-0.5004,61.73,"May 24, 24",-0.005004
