date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,150.2,150.6,147.05,148.75,148.75,562857,562857,-1.45,-0.96538,149.15,"May 17, 24",-0.0096538
2024-05-16,149.45,150.45,148.9,150.2,150.2,497628,497628,0.75,0.50184,149.75,"May 16, 24",0.0050184
2024-05-15,149.1,150.2,148.25,149.3,149.3,409655,409655,0.19999,0.13414,149.2125,"May 15, 24",0.0013414
2024-05-14,147.95,149.55,147.4,149.15,149.15,428940,428940,1.2,0.81108,148.5125,"May 14, 24",0.0081108
2024-05-13,149.35,149.75,147,147.75,147.75,399547,399547,-1.6,-1.07,148.4625,"May 13, 24",-0.0107
2024-05-10,148.85,150.15,148.7,149.35,149.35,480832,480832,0.5,0.33591,149.2625,"May 10, 24",0.0033591
2024-05-09,148.6,149.05,148,149,149,312045,312045,0.39999,0.26918,148.6625,"May 09, 24",0.0026918
2024-05-08,146.2,148.65,146,148.5,148.5,434989,434989,2.3,1.57,147.3375,"May 08, 24",0.0157
2024-05-07,144.45,146.35,144.15,145.65,145.65,456465,456465,1.2,0.83074,145.15,"May 07, 24",0.0083074
2024-05-06,141.9,143.1,141.1,141.3,141.3,206746,206746,-0.59999,-0.42283,141.85,"May 06, 24",-0.0042283
2024-05-03,141.15,144.65,140.85,141.25,141.25,596879,596879,0.10001,0.07084662,141.975,"May 03, 24",0.0007084662
2024-05-02,142.85,143.85,140.55,140.7,140.7,519706,519706,-2.15,-1.51,141.9875,"May 02, 24",-0.0151
2024-04-30,142.8,143.65,141.65,142,142,422881,422881,-0.8,-0.56022,142.525,"April 30, 24",-0.0056022
2024-04-29,142.85,143.3,142.15,142.15,142.15,403788,403788,-0.70002,-0.49002,142.6125,"April 29, 24",-0.0049002
2024-04-26,144,145.7,141.1,142.5,142.5,597060,597060,-1.5,-1.04,143.325,"April 26, 24",-0.0104
2024-04-25,145.05,145.3,139.9,141.5,141.5,654772,654772,-3.55,-2.45,142.9375,"April 25, 24",-0.0245
2024-04-24,144.3,145.45,143.95,145.05,145.05,311425,311425,0.75,0.51975,144.6875,"April 24, 24",0.0051975
2024-04-23,145.65,147.1,144.55,145.1,145.1,341887,341887,-0.54998,-0.37762,145.6,"April 23, 24",-0.0037762
2024-04-22,147.4,148.05,144.5,145.05,145.05,396939,396939,-2.35,-1.59,146.25,"April 22, 24",-0.0159
2024-04-19,142.85,145,141.95,145,145,372441,372441,2.15,1.51,143.7,"April 19, 24",0.0151
2024-04-18,141.95,144.05,141.9,143.65,143.65,334815,334815,1.7,1.2,142.8875,"April 18, 24",0.012
2024-04-17,139.25,143.05,139.05,141.8,141.8,304041,304041,2.55,1.83,140.7875,"April 17, 24",0.0183
2024-04-16,139.7,141.3,138.7,140.25,140.25,401748,401748,0.55,0.3937,139.9875,"April 16, 24",0.003937
2024-04-15,141.55,142.4,140.45,140.85,140.85,284474,284474,-0.69999,-0.49452,141.3125,"April 15, 24",-0.0049452
2024-04-12,143.45,143.95,140.85,141.25,141.25,303366,303366,-2.2,-1.53,142.375,"April 12, 24",-0.0153
2024-04-11,143.25,144.35,142.25,142.4,142.4,299310,299310,-0.85001,-0.59337,143.0625,"April 11, 24",-0.0059337
2024-04-10,145.45,146.05,142.2,143.45,143.45,268878,268878,-2,-1.38,144.2875,"April 10, 24",-0.0138
2024-04-09,142.85,146.15,142.6,144.75,144.75,316264,316264,1.9,1.33,144.0875,"April 09, 24",0.0133
