date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,34.88,35.23,34.08,34.12,34.12,1196044,1196044,-0.76,-2.18,34.5775,"July 01, 24",-0.0218
2024-06-28,35.12,35.4,34.45,34.79,34.79,2778605,2778605,-0.33,-0.93964,34.94,"June 28, 24",-0.0093964
2024-06-27,35.3,35.49,34.91,35.18,35.18,955405,955405,-0.12,-0.33994,35.22,"June 27, 24",-0.0033994
2024-06-26,35.68,35.82,35.36,35.49,35.49,734599,734599,-0.19,-0.53251,35.5875,"June 26, 24",-0.0053251
2024-06-25,36.34,36.66,35.55,35.76,35.76,873980,873980,-0.58,-1.6,36.0775,"June 25, 24",-0.016
2024-06-24,36.0,36.74,35.76,36.51,36.51,927975,927975,0.51,1.42,36.2525,"June 24, 24",0.0142
2024-06-21,36.03,36.55,35.79,35.98,35.98,2325175,2325175,-0.05,-0.13877,36.0875,"June 21, 24",-0.0013877
2024-06-20,36.46,36.68,35.65,35.95,35.95,1280052,1280052,-0.51,-1.4,36.185,"June 20, 24",-0.014
2024-06-18,36.69,37.14,36.42,36.48,36.48,930594,930594,-0.21,-0.57236,36.6825,"June 18, 24",-0.0057236
2024-06-17,36.36,36.61,35.81,36.6,36.6,1444221,1444221,0.24,0.66007,36.345,"June 17, 24",0.0066007
2024-06-14,37.64,37.64,36.0,36.61,36.61,1515760,1515760,-1.03,-2.74,36.9725,"June 14, 24",-0.0274
2024-06-13,38.32,38.46,37.6,38.06,37.86,727482,727482,-0.26,-0.6785,38.11,"June 13, 24",-0.006785
2024-06-12,39.18,39.54,38.29,38.39,38.19,902032,902032,-0.79,-2.02,38.85,"June 12, 24",-0.0202
2024-06-11,38.19,38.53,37.78,38.13,37.93,1427927,1427927,-0.06,-0.15711,38.1575,"June 11, 24",-0.0015711
2024-06-10,38.23,38.77,37.71,38.52,38.32,1104397,1104397,0.29,0.75857,38.3075,"June 10, 24",0.0075857
2024-06-07,39.25,39.38,38.66,38.68,38.48,1398364,1398364,-0.57,-1.45,38.9925,"June 07, 24",-0.0145
2024-06-06,40.56,41.14,39.47,39.64,39.43,1591399,1591399,-0.92,-2.27,40.2025,"June 06, 24",-0.0227
2024-06-05,40.04,40.24,39.62,39.68,39.47,1262647,1262647,-0.36,-0.8991,39.895,"June 05, 24",-0.008991
2024-06-04,39.29,40.2,39.29,40.06,39.85,1714336,1714336,0.77,1.96,39.71,"June 04, 24",0.0196
2024-06-03,39.2,39.74,38.73,39.56,39.35,1786635,1786635,0.36,0.91837,39.3075,"June 03, 24",0.0091837
2024-05-31,37.96,39.08,37.68,38.87,38.67,2729321,2729321,0.91,2.4,38.3975,"May 31, 24",0.024
2024-05-30,36.91,37.72,36.77,37.69,37.49,1213059,1213059,0.78,2.11,37.2725,"May 30, 24",0.0211
2024-05-29,36.52,36.85,36.01,36.77,36.58,1124366,1124366,0.25,0.68456,36.5375,"May 29, 24",0.0068456
2024-05-28,37.15,37.3,36.76,37.18,36.98,1214735,1214735,0.03,0.0807537,37.0975,"May 28, 24",0.000807537
2024-05-24,37.76,37.84,37.15,37.23,37.03,1001608,1001608,-0.53,-1.4,37.495,"May 24, 24",-0.014
2024-05-23,37.98,38.0,37.27,37.4,37.2,1003658,1003658,-0.58,-1.53,37.6625,"May 23, 24",-0.0153
2024-05-22,38.01,38.21,37.68,38.0,37.8,1424185,1424185,-0.01,-0.02630887,37.975,"May 22, 24",-0.0002630887
2024-05-21,38.03,38.4,37.66,38.29,38.09,847451,847451,0.26,0.68367,38.095,"May 21, 24",0.0068367
2024-05-20,38.75,38.89,38.01,38.07,37.87,1183084,1183084,-0.68,-1.75,38.43,"May 20, 24",-0.0175
2024-05-17,38.87,39.26,38.69,38.88,38.68,1045628,1045628,0.01,0.02572678,38.925,"May 17, 24",0.0002572678
2024-05-16,38.71,39.07,38.25,38.97,38.77,1024532,1024532,0.26,0.67166,38.75,"May 16, 24",0.0067166
2024-05-15,38.9,39.25,38.62,38.78,38.58,1722121,1722121,-0.12,-0.30848,38.8875,"May 15, 24",-0.0030848
2024-05-14,38.72,38.75,38.24,38.62,38.42,1565314,1565314,-0.1,-0.25826,38.5825,"May 14, 24",-0.0025826
2024-05-13,38.0,38.26,37.84,38.12,37.92,1217484,1217484,0.12,0.31579,38.055,"May 13, 24",0.0031579
2024-05-10,37.65,37.83,37.13,37.67,37.47,1221087,1221087,0.02,0.05312085,37.57,"May 10, 24",0.0005312085
