date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,33.08,33.2,32.81,32.9,32.9,7907524,7907524,-0.175,-0.54414,32.9975,"May 17, 24",-0.0054414
2024-05-16,33.37,33.41,32.79,33.12,33.12,10070631,10070631,-0.25,-0.74918,33.1725,"May 16, 24",-0.0074918
2024-05-15,34.14,34.24,33.33,33.62,33.3,6452528,6452528,-0.52,-1.52,33.8325,"May 15, 24",-0.0152
2024-05-14,34.33,34.44,33.9,33.94,33.62,5729343,5729343,-0.385,-1.14,34.1525,"May 14, 24",-0.0114
2024-05-13,34.38,34.51,34.28,34.33,34.01,4670218,4670218,-0.040001,-0.14543,34.375,"May 13, 24",-0.0014543
2024-05-10,34.22,34.45,34.17,34.4,34.08,4541944,4541944,0.18,0.52601,34.31,"May 10, 24",0.0052601
2024-05-09,33.81,34.14,33.81,33.96,33.64,4602900,4602900,0.15,0.44366,33.93,"May 09, 24",0.0044366
2024-05-08,33.84,33.92,33.51,33.77,33.45,5274500,5274500,-0.07,-0.20686,33.76,"May 08, 24",-0.0020686
2024-05-07,33.83,34.1,33.78,33.88,33.57,4323470,4323470,0.059997,0.1478,33.8975,"May 07, 24",0.001478
2024-05-06,33.71,33.89,33.68,33.77,33.45,3441392,3441392,0.060001,0.17799,33.7625,"May 06, 24",0.0017799
2024-05-03,33.74,33.87,33.37,33.47,33.16,5779215,5779215,-0.27,-0.80024,33.6125,"May 03, 24",-0.0080024
2024-05-02,33.61,33.99,33.24,33.75,33.43,7992195,7992195,0.14,0.41654,33.6475,"May 02, 24",0.0041654
2024-04-30,34.12,34.17,33.72,33.74,33.42,5140595,5140595,-0.385,-1.11,33.9375,"April 30, 24",-0.0111
2024-04-29,34.04,34.28,34.01,34.01,33.69,4146888,4146888,-0.029999,-0.08813161,34.085,"April 29, 24",-0.0008813161
2024-04-26,34.14,34.19,33.92,34.04,33.72,6178462,6178462,-0.095001,-0.29291,34.0725,"April 26, 24",-0.0029291
2024-04-25,34.11,34.27,33.85,34.04,33.72,5672494,5672494,-0.07,-0.20522,34.0675,"April 25, 24",-0.0020522
2024-04-24,34.1,34.23,33.96,34.01,33.69,5309503,5309503,-0.090001,-0.26393,34.075,"April 24, 24",-0.0026393
2024-04-23,33.89,34.09,33.78,33.88,33.56,5322034,5322034,-0.009998,-0.02950723,33.91,"April 23, 24",-0.0002950723
2024-04-22,33.58,33.97,33.52,33.92,33.6,7480978,7480978,0.33,1.01,33.7475,"April 22, 24",0.0101
2024-04-19,33.4,33.55,32.92,33.47,33.15,9995595,9995595,0.060001,0.20958,33.335,"April 19, 24",0.0020958
2024-04-18,33.42,33.56,33.18,33.47,33.15,6212668,6212668,0.050003,0.14961,33.4075,"April 18, 24",0.0014961
2024-04-17,33.47,33.67,33.38,33.53,33.21,5990833,5990833,0.055001,0.17927,33.5125,"April 17, 24",0.0017927
2024-04-16,33.77,33.88,33.3,33.48,33.16,9503336,9503336,-0.29,-0.85875,33.6075,"April 16, 24",-0.0085875
2024-04-15,34.22,34.3,33.92,34.06,33.74,7870903,7870903,-0.155,-0.46756,34.125,"April 15, 24",-0.0046756
2024-04-12,33.95,34.74,33.95,34.57,34.24,9473752,9473752,0.62,1.83,34.3025,"April 12, 24",0.0183
2024-04-11,33.77,34.06,33.46,33.56,33.24,7373331,7373331,-0.21,-0.62185,33.7125,"April 11, 24",-0.0062185
2024-04-10,33.4,33.74,33.4,33.65,33.33,6595419,6595419,0.245,0.7485,33.5475,"April 10, 24",0.007485
2024-04-09,32.96,33.4,32.94,33.16,32.85,7780486,7780486,0.205,0.6068,33.115,"April 09, 24",0.006068
2024-04-08,32.53,33.13,32.51,32.97,32.66,7359900,7359900,0.45,1.35,32.785,"April 08, 24",0.0135
2024-04-05,32.37,32.66,32.33,32.56,32.26,7554846,7554846,0.2,0.58696,32.48,"April 05, 24",0.0058696
2024-04-04,32.25,32.45,32.13,32.4,32.1,5768923,5768923,0.155,0.46512,32.3075,"April 04, 24",0.0046512
2024-04-03,32.22,32.28,31.9,32.26,31.95,7838385,7838385,0.035,0.12415,32.165,"April 03, 24",0.0012415
2024-04-02,31.31,32.03,31.28,31.95,31.65,12398561,12398561,0.64,2.04,31.6425,"April 02, 24",0.0204
2024-03-28,30.9,31.09,30.81,30.96,30.66,6270881,6270881,0.055,0.19417,30.94,"March 28, 24",0.0019417
2024-03-27,30.83,30.94,30.66,30.7,30.41,5560257,5560257,-0.14,-0.42167,30.7825,"March 27, 24",-0.0042167
2024-03-26,31.12,31.3,31,31.11,30.82,4379731,4379731,-0.01,-0.03213368,31.1325,"March 26, 24",-0.0003213368
2024-03-25,30.9,31.25,30.9,31.18,30.89,4493086,4493086,0.285,0.90615,31.0575,"March 25, 24",0.0090615
2024-03-22,30.8,31.01,30.74,30.92,30.63,5635499,5635499,0.125,0.38961,30.8675,"March 22, 24",0.0038961
2024-03-21,30.76,30.99,30.68,30.82,30.53,9075238,9075238,0.055001,0.19506,30.8125,"March 21, 24",0.0019506
2024-03-20,30.58,30.66,30.46,30.63,30.34,5741639,5741639,0.040001,0.16351,30.5825,"March 20, 24",0.0016351
2024-03-19,30.33,30.69,30.24,30.68,30.4,7087528,7087528,0.355,1.15,30.485,"March 19, 24",0.0115
2024-03-18,30.22,30.4,30.09,30.27,29.99,6759502,6759502,0.055,0.16545,30.245,"March 18, 24",0.0016545
2024-03-15,30.11,30.28,30.08,30.11,29.83,15023980,15023980,0,0,30.145,"March 15, 24",0
2024-03-14,29.9,30.14,29.82,30.01,29.73,10733529,10733529,0.115,0.36789,29.9675,"March 14, 24",0.0036789
2024-03-13,29.5,29.92,29.42,29.87,29.58,12913540,12913540,0.36,1.25,29.6775,"March 13, 24",0.0125
2024-03-12,29.49,29.76,29.42,29.54,29.26,10310782,10310782,0.050001,0.16955,29.5525,"March 12, 24",0.0016955
2024-03-11,29.26,29.4,29.13,29.3,29.02,6753986,6753986,0.035,0.13671,29.2725,"March 11, 24",0.0013671
2024-03-08,29.42,29.73,29.33,29.34,29.06,7337244,7337244,-0.08,-0.27192,29.455,"March 08, 24",-0.0027192
2024-03-07,29.27,29.4,29.14,29.36,29.08,7264452,7264452,0.090001,0.30748,29.2925,"March 07, 24",0.0030748
2024-03-06,29.01,29.55,29,29.41,29.13,9158320,9158320,0.4,1.38,29.2425,"March 06, 24",0.0138
2024-03-05,28.93,29.1,28.73,29.07,28.79,6533645,6533645,0.13,0.48393,28.9575,"March 05, 24",0.0048393
2024-03-04,29.42,29.57,29.08,29.1,28.83,7369489,7369489,-0.32,-1.09,29.2925,"March 04, 24",-0.0109
2024-03-01,29.19,29.47,29.15,29.45,29.17,8267521,8267521,0.255,0.89072,29.315,"March 01, 24",0.0089072
2024-02-29,28.93,29.18,28.91,29.08,28.81,7762746,7762746,0.145,0.51849,29.025,"February 29, 24",0.0051849
2024-02-28,29.25,29.31,29.02,29.07,28.8,7258277,7258277,-0.18,-0.61538,29.1625,"February 28, 24",-0.0061538
2024-02-27,29.17,29.43,29.16,29.25,28.97,6316353,6316353,0.084999,0.27425,29.2525,"February 27, 24",0.0027425
2024-02-26,29.4,29.47,29.03,29.21,28.93,7898984,7898984,-0.195,-0.64626,29.2775,"February 26, 24",-0.0064626
2024-02-23,29.61,29.79,29.26,29.54,29.26,6145409,6145409,-0.064999,-0.23641,29.55,"February 23, 24",-0.0023641
2024-02-22,29.75,29.87,29.52,29.63,29.35,7513722,7513722,-0.13,-0.40336,29.6925,"February 22, 24",-0.0040336
2024-02-21,29.39,29.64,29.28,29.59,29.31,6571353,6571353,0.205,0.6805,29.475,"February 21, 24",0.006805
2024-02-20,29.6,29.79,29.29,29.42,29.14,8036635,8036635,-0.185,-0.60811,29.525,"February 20, 24",-0.0060811
2024-02-19,29.5,29.74,29.44,29.66,29.38,4041928,4041928,0.16,0.54237,29.585,"February 19, 24",0.0054237
2024-02-16,29.4,29.63,29.37,29.54,29.26,8694002,8694002,0.135,0.47619,29.485,"February 16, 24",0.0047619
2024-02-15,29.23,29.39,28.72,29.2,28.92,8808342,8808342,-0.035,-0.10263,29.135,"February 15, 24",-0.0010263
2024-02-14,29.6,29.83,29.56,29.61,29.01,4977135,4977135,0.005,0.03378378,29.65,"February 14, 24",0.0003378378
2024-02-13,29.69,29.93,29.48,29.64,29.04,5622473,5622473,-0.055001,-0.16841,29.685,"February 13, 24",-0.0016841
2024-02-12,29.49,29.78,29.32,29.59,29,4127619,4127619,0.11,0.3391,29.545,"February 12, 24",0.003391
2024-02-09,29.41,29.73,29.38,29.49,28.9,6013277,6013277,0.08,0.27202,29.5025,"February 09, 24",0.0027202
2024-02-08,29.31,29.52,28.99,29.39,28.8,7692516,7692516,0.08,0.27294,29.3025,"February 08, 24",0.0027294
2024-02-07,29.45,29.62,29.18,29.34,28.75,6908329,6908329,-0.11,-0.37351,29.3975,"February 07, 24",-0.0037351
2024-02-06,29.38,29.58,29.32,29.49,28.9,7834696,7834696,0.115,0.3744,29.4425,"February 06, 24",0.003744
2024-02-05,29.26,29.41,29.15,29.2,28.62,7615115,7615115,-0.064998,-0.20506,29.255,"February 05, 24",-0.0020506
2024-02-02,29.54,29.67,29.17,29.26,28.68,9975533,9975533,-0.275,-0.94787,29.41,"February 02, 24",-0.0094787
2024-02-01,29.36,29.99,29.31,29.67,29.07,14470340,14470340,0.305,1.06,29.5825,"February 01, 24",0.0106
2024-01-31,29.38,29.42,29.07,29.07,28.49,7451576,7451576,-0.31,-1.06,29.235,"January 31, 24",-0.0106
2024-01-30,29.16,29.25,29.03,29.25,28.66,5010976,5010976,0.09,0.30864,29.1725,"January 30, 24",0.0030864
2024-01-29,29.13,29.37,29.01,29.11,28.52,6291707,6291707,-0.024999,-0.06865774,29.155,"January 29, 24",-0.0006865774
2024-01-26,28.75,28.96,28.75,28.77,28.2,7636458,7636458,0.015001,0.06956522,28.8075,"January 26, 24",0.0006956522
2024-01-25,28.3,28.56,28.28,28.34,27.78,11461284,11461284,0.049999,0.14134,28.37,"January 25, 24",0.0014134
2024-01-24,28.09,28.25,27.99,28.17,27.6,6160802,6160802,0.075001,0.2848,28.125,"January 24, 24",0.002848
2024-01-23,28.18,28.3,27.97,28.1,27.54,5763334,5763334,-0.08,-0.28389,28.1375,"January 23, 24",-0.0028389
2024-01-22,27.98,28.14,27.75,27.98,27.42,4785125,4785125,-0.005,0,27.9625,"January 22, 24",0
2024-01-19,28.24,28.33,27.98,27.98,27.42,4548697,4548697,-0.26,-0.92068,28.1325,"January 19, 24",-0.0092068
2024-01-18,28.09,28.24,28.02,28.11,27.55,4914389,4914389,0.020001,0.07119972,28.115,"January 18, 24",0.0007119972
2024-01-17,28.34,28.34,27.79,28.17,27.6,8656524,8656524,-0.175,-0.59986,28.16,"January 17, 24",-0.0059986
2024-01-16,28.87,29.09,28.63,28.74,28.17,5314436,5314436,-0.125,-0.45029,28.8325,"January 16, 24",-0.0045029
2024-01-15,29.14,29.2,28.86,29,28.42,2517723,2517723,-0.14,-0.48044,29.05,"January 15, 24",-0.0048044
2024-01-12,28.99,29.4,28.93,28.99,28.41,5011863,5011863,0,0,29.0775,"January 12, 24",0
2024-01-11,28.88,29.18,28.73,28.74,28.17,5849353,5849353,-0.14,-0.48476,28.8825,"January 11, 24",-0.0048476
2024-01-10,29.25,29.28,28.82,28.83,28.25,6351195,6351195,-0.425,-1.44,29.045,"January 10, 24",-0.0144
