date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,181.58,183.14,178.87,179.72,179.72,1204376,1204376,-1.86,-1.02,180.8275,"May 17, 24",-0.0102
2024-05-16,183.35,184.03,179.94,182.21,182.21,1623884,1623884,-1.14,-0.62176,182.3825,"May 16, 24",-0.0062176
2024-05-15,186.73,186.84,181.97,184.21,184.21,1424049,1424049,-2.52,-1.35,184.9375,"May 15, 24",-0.0135
2024-05-14,182.83,186.09,182.26,184.08,184.08,1134089,1134089,1.25,0.6837,183.815,"May 14, 24",0.006837
2024-05-13,181.67,182.98,179.92,182.83,182.83,1254041,1254041,1.16,0.63852,181.85,"May 13, 24",0.0063852
2024-05-10,180,183,178.89,179.75,179.75,835330,835330,-0.25,-0.13889,180.41,"May 10, 24",-0.0013889
2024-05-09,180,181.97,178.59,179.85,179.85,776834,776834,-0.15,-0.08333333,180.1025,"May 09, 24",-0.0008333333
2024-05-08,181.21,182,178.08,178.52,178.52,1166697,1166697,-2.69,-1.48,179.9525,"May 08, 24",-0.0148
2024-05-07,181.29,185.34,178.95,184.12,184.12,1346665,1346665,2.83,1.56,182.425,"May 07, 24",0.0156
2024-05-06,184.5,186.32,180.78,181.77,181.77,1468485,1468485,-2.73,-1.48,183.3425,"May 06, 24",-0.0148
2024-05-03,186.3,189.48,182.02,183.52,183.52,1526433,1526433,-2.78,-1.49,185.33,"May 03, 24",-0.0149
2024-05-02,179.3,186.65,176.67,183.55,183.55,3234205,3234205,4.25,2.37,181.5425,"May 02, 24",0.0237
2024-05-01,173.36,178.4,168.2,172.77,172.77,1683650,1683650,-0.59,-0.34033,173.1825,"May 01, 24",-0.0034033
2024-04-30,174.66,176.29,171,172.3,172.3,2670421,2670421,-2.36,-1.35,173.5625,"April 30, 24",-0.0135
2024-04-29,180.51,182.37,175.09,177.07,177.07,2194900,2194900,-3.44,-1.91,178.76,"April 29, 24",-0.0191
2024-04-26,182.73,183.9,172.35,179.45,179.45,5866981,5866981,-3.28,-1.79,179.6075,"April 26, 24",-0.0179
2024-04-25,195,199.6,191.83,198.41,198.41,2227904,2227904,3.41,1.75,196.21,"April 25, 24",0.0175
2024-04-24,198.54,202.05,198.01,199.01,199.01,838206,838206,0.47,0.23673,199.4025,"April 24, 24",0.0023673
2024-04-23,194.11,201.53,193.88,199.44,199.44,957402,957402,5.33,2.75,197.24,"April 23, 24",0.0275
2024-04-22,192.65,196.58,189.08,194.27,194.27,1689869,1689869,1.62,0.8409,193.145,"April 22, 24",0.008409
2024-04-19,193.63,194.79,189.49,191.55,191.55,1769243,1769243,-2.08,-1.07,192.365,"April 19, 24",-0.0107
2024-04-18,196.45,198.86,193.52,193.61,193.61,1085559,1085559,-2.84,-1.45,195.61,"April 18, 24",-0.0145
2024-04-17,195.28,198.38,194.96,195.07,195.07,1390230,1390230,-0.21,-0.10754,195.9225,"April 17, 24",-0.0010754
2024-04-16,191.28,195.47,191.2,194.85,194.85,2376870,2376870,3.57,1.87,193.2,"April 16, 24",0.0187
2024-04-15,206.88,208.83,191.69,191.84,191.84,2109466,2109466,-15.04,-7.27,199.81,"April 15, 24",-0.0727
2024-04-12,210,213.25,205.72,206.53,206.53,1367694,1367694,-3.47,-1.65,208.875,"April 12, 24",-0.0165
2024-04-11,213.75,217.46,209.2,214.65,214.65,2281146,2281146,0.9,0.42105,213.765,"April 11, 24",0.0042105
2024-04-10,198.15,205.41,197.45,204.74,204.74,1539766,1539766,6.59,3.33,201.4375,"April 10, 24",0.0333
2024-04-09,200.8,207.4,200.5,202.92,202.92,1701312,1701312,2.12,1.06,202.905,"April 09, 24",0.0106
2024-04-08,196.44,198.94,194.23,198.55,198.55,783477,783477,2.11,1.07,197.04,"April 08, 24",0.0107
2024-04-05,191.31,199.11,191.31,196.62,196.62,1185247,1185247,5.31,2.78,194.5875,"April 05, 24",0.0278
2024-04-04,197.52,199.22,192.29,192.32,192.32,1282077,1282077,-5.2,-2.63,195.3375,"April 04, 24",-0.0263
2024-04-03,194.79,197.55,194.69,195.24,195.24,1222526,1222526,0.45,0.23102,195.5675,"April 03, 24",0.0023102
2024-04-02,191.11,196.35,190.29,196.02,196.02,1815824,1815824,4.91,2.57,193.4425,"April 02, 24",0.0257
2024-04-01,195.2,196.4,192.32,193.37,193.37,923998,923998,-1.83,-0.9375,194.3225,"April 01, 24",-0.009375
2024-03-28,192.79,195.6,191.35,195.11,195.11,1130698,1130698,2.32,1.2,193.7125,"March 28, 24",0.012
2024-03-27,194.01,194.37,191.14,193.14,193.14,920631,920631,-0.87,-0.44843,193.165,"March 27, 24",-0.0044843
2024-03-26,195.1,195.1,191.65,192,192,1674320,1674320,-3.1,-1.59,193.4625,"March 26, 24",-0.0159
2024-03-25,191.94,194.13,189.5,193.27,193.27,2222588,2222588,1.32,0.69292,192.21,"March 25, 24",0.0069292
2024-03-22,196.45,196.55,191.27,192.53,192.53,2268597,2268597,-3.92,-2,194.2,"March 22, 24",-0.02
2024-03-21,199.55,201.07,196.86,197.26,197.26,1696463,1696463,-2.29,-1.15,198.685,"March 21, 24",-0.0115
2024-03-20,195.09,196.69,193.22,196.22,196.22,2664290,2664290,1.13,0.57922,195.305,"March 20, 24",0.0057922
2024-03-19,193.07,197.4,189.87,196.43,196.43,2295052,2295052,3.36,1.74,194.1925,"March 19, 24",0.0174
2024-03-18,196.12,198.45,195,197.01,197.01,1887899,1887899,0.89,0.4538,196.645,"March 18, 24",0.004538
2024-03-15,201.05,203.08,194,194.43,194.43,3154483,3154483,-6.62,-3.29,198.14,"March 15, 24",-0.0329
2024-03-14,207.34,207.34,200.69,202.7,202.7,1926876,1926876,-4.64,-2.24,204.5175,"March 14, 24",-0.0224
2024-03-13,215.49,215.5,207.49,207.73,207.73,2226512,2226512,-7.76,-3.6,211.5525,"March 13, 24",-0.036
2024-03-12,215.68,217.82,213.3,217.36,217.36,1166877,1166877,1.68,0.77893,216.04,"March 12, 24",0.0077893
2024-03-11,210.37,216.64,208.95,215.63,215.63,1695945,1695945,5.26,2.5,212.8975,"March 11, 24",0.025
2024-03-08,204.4,211.08,204.4,208.8,208.8,1782286,1782286,4.4,2.15,207.17,"March 08, 24",0.0215
2024-03-07,200,203.6,195.65,202.96,202.96,1471381,1471381,2.96,1.48,200.5525,"March 07, 24",0.0148
2024-03-06,199.94,200.87,194.08,198.14,198.14,1062675,1062675,-1.8,-0.90027,198.2575,"March 06, 24",-0.0090027
2024-03-05,203.95,205.23,193.47,196.33,196.33,1702316,1702316,-7.62,-3.74,199.745,"March 05, 24",-0.0374
2024-03-04,209.48,209.48,203.37,207.6,207.6,1034495,1034495,-1.88,-0.89746,207.4825,"March 04, 24",-0.0089746
2024-03-01,207.42,209.41,204.29,209.2,209.2,1569277,1569277,1.78,0.85816,207.58,"March 01, 24",0.0085816
2024-02-29,205.66,209.44,205,207.42,207.42,1930010,1930010,1.76,0.85578,206.88,"February 29, 24",0.0085578
2024-02-28,203.62,208.49,202,207.05,207.05,1141942,1141942,3.43,1.68,205.29,"February 28, 24",0.0168
2024-02-27,205.82,208.65,204.15,205.82,205.82,769731,769731,0,0,206.11,"February 27, 24",0
2024-02-26,203.76,207.1,201.59,204.66,204.66,896460,896460,0.9,0.4417,204.2775,"February 26, 24",0.004417
2024-02-23,205.5,207.49,204.33,204.44,204.44,823169,823169,-1.06,-0.51582,205.44,"February 23, 24",-0.0051582
2024-02-22,209.1,210.38,204.2,205.43,205.43,1078843,1078843,-3.67,-1.76,207.2775,"February 22, 24",-0.0176
2024-02-21,201.01,205.51,199.95,204.11,204.11,1411539,1411539,3.1,1.54,202.645,"February 21, 24",0.0154
2024-02-20,205.55,206.49,201.05,204.78,204.78,1767821,1767821,-0.77,-0.3746,204.4675,"February 20, 24",-0.003746
2024-02-16,212.33,214,207.19,207.84,207.84,1327920,1327920,-4.49,-2.11,210.34,"February 16, 24",-0.0211
2024-02-15,215.9,216.65,212.24,213.12,213.12,1889026,1889026,-2.78,-1.29,214.4775,"February 15, 24",-0.0129
2024-02-14,212.4,216.09,209.31,215.89,215.89,1292589,1292589,3.49,1.64,213.4225,"February 14, 24",0.0164
2024-02-13,205,213.87,203.27,210.07,210.07,1718780,1718780,5.07,2.47,208.0525,"February 13, 24",0.0247
2024-02-12,218.26,221,216.09,216.17,216.17,1115079,1115079,-2.09,-0.95757,217.88,"February 12, 24",-0.0095757
2024-02-09,214.33,220.99,211.25,218.76,218.76,2076219,2076219,4.43,2.07,216.3325,"February 09, 24",0.0207
2024-02-08,208.84,216.39,208.84,212.29,212.29,2034010,2034010,3.45,1.65,211.59,"February 08, 24",0.0165
2024-02-07,214.11,215.7,208.5,209.46,209.46,1586302,1586302,-4.65,-2.17,211.9425,"February 07, 24",-0.0217
2024-02-06,216.14,216.47,205.83,211.26,211.26,2714215,2714215,-4.88,-2.26,212.425,"February 06, 24",-0.0226
2024-02-05,216.52,220.43,213.1,215.05,215.05,2918338,2918338,-1.47,-0.67892,216.275,"February 05, 24",-0.0067892
2024-02-02,230.13,231.56,211.05,217.39,217.39,9354346,9354346,-12.74,-5.54,222.5325,"February 02, 24",-0.0554
2024-02-01,253.5,256.88,250.93,254.9,254.9,2534060,2534060,1.4,0.55227,254.0525,"February 01, 24",0.0055227
2024-01-31,252.98,257,248.34,249.77,249.77,2304671,2304671,-3.21,-1.27,252.0225,"January 31, 24",-0.0127
2024-01-30,254.8,258.69,252.96,257.43,257.43,1540939,1540939,2.63,1.03,255.97,"January 30, 24",0.0103
2024-01-29,246.63,257.15,246.63,255.67,255.67,1806093,1806093,9.04,3.67,251.52,"January 29, 24",0.0367
2024-01-26,242.32,249.5,241.14,247.79,247.79,1421695,1421695,5.47,2.26,245.1875,"January 26, 24",0.0226
2024-01-25,246.73,247.08,240.2,244.35,244.35,1646516,1646516,-2.38,-0.96462,244.59,"January 25, 24",-0.0096462
2024-01-24,254.09,254.09,242.66,243.08,243.08,1401161,1401161,-11.01,-4.33,248.48,"January 24, 24",-0.0433
2024-01-23,248.12,248.88,243.83,248.45,248.45,1581579,1581579,0.33,0.133,247.32,"January 23, 24",0.00133
2024-01-22,249,253.83,244.57,245.59,245.59,2281387,2281387,-3.41,-1.37,248.2475,"January 22, 24",-0.0137
2024-01-19,240.55,243.48,238,242.96,242.96,1025501,1025501,2.41,1,241.2475,"January 19, 24",0.01
2024-01-18,240.58,241.92,236.5,239.42,239.42,1086479,1086479,-1.16,-0.48217,239.605,"January 18, 24",-0.0048217
2024-01-17,237.7,238.53,231.92,236.97,236.97,1390649,1390649,-0.73,-0.30711,236.28,"January 17, 24",-0.0030711
2024-01-16,237.89,244.02,233.24,240.56,240.56,1539834,1539834,2.67,1.12,238.9275,"January 16, 24",0.0112
2024-01-12,243.43,243.43,235.88,237,237,1277935,1277935,-6.43,-2.64,239.935,"January 12, 24",-0.0264
2024-01-11,245.73,249.08,240.39,242.16,242.16,1231363,1231363,-3.57,-1.45,244.34,"January 11, 24",-0.0145
2024-01-10,236.36,244.82,235.5,244.21,244.21,1406123,1406123,7.85,3.32,240.2225,"January 10, 24",0.0332
2024-01-09,231.61,238.62,231.58,235.3,235.3,853662,853662,3.69,1.59,234.2775,"January 09, 24",0.0159
2024-01-08,227.93,236.57,227.87,235.59,235.59,1098958,1098958,7.66,3.36,231.99,"January 08, 24",0.0336
2024-01-05,221.68,230.67,221.68,226.1,226.1,1220903,1220903,4.42,1.99,225.0325,"January 05, 24",0.0199
2024-01-04,220.29,224.37,218.85,222.82,222.82,1371626,1371626,2.53,1.15,221.5825,"January 04, 24",0.0115
2024-01-03,223,223.33,219.31,220.05,220.05,1304820,1304820,-2.95,-1.32,221.4225,"January 03, 24",-0.0132
2024-01-02,235.01,235.19,225.3,226.67,226.67,1963835,1963835,-8.34,-3.55,230.5425,"January 02, 24",-0.0355
