date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,329,333,326,331.8,331.8,55696,55696,2.8,0.85106,329.95,"May 17, 24",0.0085106
2024-05-16,322.8,328.6,320.6,328.4,328.4,118621,118621,5.6,1.73,325.1,"May 16, 24",0.0173
2024-05-15,325,327.4,322,322.8,322.8,227226,227226,-2.2,-0.67692,324.3,"May 15, 24",-0.0067692
2024-05-14,322.4,326,320.4,323,323,134985,134985,0.60001,0.1861,322.95,"May 14, 24",0.001861
2024-05-13,323.6,325.8,320,322.2,322.2,128872,128872,-1.4,-0.43263,322.9,"May 13, 24",-0.0043263
2024-05-10,321.6,327.4,319.8,323.6,323.6,1031082,1031082,2,0.62189,323.1,"May 10, 24",0.0062189
2024-05-08,314.8,319.4,312,319.2,319.2,112540,112540,4.4,1.4,316.35,"May 08, 24",0.014
2024-05-07,315,316.4,310.4,314.8,314.8,139126,139126,-0.20001,-0.06349206,314.15,"May 07, 24",-0.0006349206
2024-05-06,308.2,313.2,304.8,313.2,313.2,66787,66787,5,1.62,309.85,"May 06, 24",0.0162
2024-05-03,301,313.4,301,307.4,307.4,108523,108523,6.4,2.13,305.7,"May 03, 24",0.0213
2024-05-02,314,314.6,298.6,300,300,445294,445294,-14,-4.46,306.8,"May 02, 24",-0.0446
2024-04-30,309.2,314.8,309.2,314,314,526886,526886,4.8,1.55,311.8,"April 30, 24",0.0155
2024-04-29,302.8,310.2,296.6,309.2,309.2,164783,164783,6.4,2.11,304.7,"April 29, 24",0.0211
2024-04-26,290.4,313,290.4,302.8,298.05,263467,263467,12.4,4.27,299.15,"April 26, 24",0.0427
2024-04-25,300.6,303.6,298,300.2,295.49,132753,132753,-0.4,-0.13307,300.6,"April 25, 24",-0.0013307
2024-04-24,306,307,297.6,301.6,296.87,126680,126680,-4.4,-1.44,303.05,"April 24, 24",-0.0144
2024-04-23,299.4,304,298.4,304,299.23,88911,88911,4.6,1.54,301.45,"April 23, 24",0.0154
2024-04-22,295.8,298.6,293.8,296,291.36,82074,82074,0.20001,0.06761325,296.05,"April 22, 24",0.0006761325
2024-04-19,294,297,291.2,295.8,291.16,82694,82694,1.8,0.61224,294.5,"April 19, 24",0.0061224
2024-04-18,302.8,304,293.6,299.2,294.51,59898,59898,-3.6,-1.19,299.9,"April 18, 24",-0.0119
2024-04-17,301,304.8,301,302.4,297.66,45312,45312,1.4,0.46512,302.3,"April 17, 24",0.0046512
2024-04-16,308.2,309.4,301.2,303.8,299.03,59777,59777,-4.4,-1.43,305.65,"April 16, 24",-0.0143
2024-04-15,303.6,311,303.6,308.8,303.96,107098,107098,5.2,1.71,306.75,"April 15, 24",0.0171
2024-04-12,308,313.2,301.6,303.4,298.64,161972,161972,-4.6,-1.49,306.55,"April 12, 24",-0.0149
2024-04-11,303,306,299.2,303.4,298.64,115700,115700,0.39999,0.13201,302.9,"April 11, 24",0.0013201
2024-04-10,308,309.8,301.8,304.4,299.62,105395,105395,-3.6,-1.17,306,"April 10, 24",-0.0117
2024-04-09,306,308.4,303,303.6,298.84,196382,196382,-2.4,-0.78431,305.25,"April 09, 24",-0.0078431
2024-04-08,317,319,298,304.4,299.62,199394,199394,-12.6,-3.97,309.6,"April 08, 24",-0.0397
2024-04-05,312.8,319.6,309.6,316.8,311.83,135585,135585,4,1.28,314.7,"April 05, 24",0.0128
2024-04-04,318.6,318.8,311.4,314.6,309.66,118671,118671,-4,-1.26,315.85,"April 04, 24",-0.0126
2024-04-03,313,320,308.6,318.8,313.8,196241,196241,5.8,1.85,315.1,"April 03, 24",0.0185
2024-04-02,322.6,323,314.2,314.4,309.47,146783,146783,-8.2,-2.54,318.55,"April 02, 24",-0.0254
2024-03-28,318.2,322.7,315.9,322.7,317.64,115835,115835,4.5,1.41,319.875,"March 28, 24",0.0141
2024-03-27,314.9,319.5,314.5,318.2,313.21,112777,112777,3.3,1.05,316.775,"March 27, 24",0.0105
2024-03-26,310.4,315.9,308.4,315.9,310.94,226534,226534,5.5,1.77,312.65,"March 26, 24",0.0177
2024-03-25,305.3,312.6,303.8,310.4,305.53,183333,183333,5.1,1.67,308.025,"March 25, 24",0.0167
2024-03-22,305.4,309.4,304,307.5,302.68,136614,136614,2.1,0.68762,306.575,"March 22, 24",0.0068762
2024-03-21,301,307.4,300,305.4,300.61,234322,234322,4.4,1.46,303.45,"March 21, 24",0.0146
2024-03-20,298.4,300,295.1,299.5,294.8,192877,192877,1.1,0.36863,298.25,"March 20, 24",0.0036863
2024-03-19,298.9,300.1,291.3,300,295.29,127166,127166,1.1,0.36802,297.575,"March 19, 24",0.0036802
2024-03-18,300,303,298.8,299.3,294.6,189098,189098,-0.70001,-0.23333,300.275,"March 18, 24",-0.0023333
2024-03-15,299.4,302.2,297,300,295.29,238004,238004,0.60001,0.2004,299.65,"March 15, 24",0.002004
2024-03-14,295.6,300.6,294.5,297,292.34,228602,228602,1.4,0.47361,296.925,"March 14, 24",0.0047361
2024-03-13,293,295.6,286,295.6,290.96,249887,249887,2.6,0.88737,292.55,"March 13, 24",0.0088737
2024-03-12,282,292.6,281.8,291,286.44,190964,190964,9,3.19,286.85,"March 12, 24",0.0319
2024-03-11,278.7,282.9,275.1,281.6,277.18,106251,106251,2.9,1.04,279.575,"March 11, 24",0.0104
2024-03-08,272.8,280.8,272.4,280.6,276.2,240829,240829,7.8,2.86,276.65,"March 08, 24",0.0286
2024-03-07,271.4,273,269.2,272.8,268.52,95102,95102,1.4,0.51584,271.6,"March 07, 24",0.0051584
2024-03-06,273.8,274.7,271.4,272.4,268.13,124494,124494,-1.4,-0.51132,273.075,"March 06, 24",-0.0051132
2024-03-05,276.6,276.6,272.2,272.6,268.32,479230,479230,-4,-1.45,274.5,"March 05, 24",-0.0145
2024-03-04,282.8,282.8,276.9,276.9,272.56,99720,99720,-5.9,-2.09,279.85,"March 04, 24",-0.0209
2024-03-01,281.5,282.8,277.7,282.8,278.36,208845,208845,1.3,0.46181,281.2,"March 01, 24",0.0046181
2024-02-29,284.9,284.9,279.4,281.5,277.08,300496,300496,-3.4,-1.19,282.675,"February 29, 24",-0.0119
2024-02-28,293.8,293.9,280.2,283.5,279.05,173562,173562,-10.3,-3.51,287.85,"February 28, 24",-0.0351
2024-02-27,293.5,295.8,292,293.8,289.19,68255,68255,0.29999,0.10221,293.775,"February 27, 24",0.0010221
2024-02-26,295.9,297.2,291.7,293.9,289.29,87846,87846,-2,-0.6759,294.675,"February 26, 24",-0.006759
2024-02-23,291.6,295.2,288.7,294.7,290.08,88105,88105,3.1,1.06,292.55,"February 23, 24",0.0106
2024-02-22,294,295.8,286.6,291.6,287.03,76954,76954,-2.4,-0.81633,292,"February 22, 24",-0.0081633
2024-02-21,285.1,290.2,284.1,289.9,285.35,85430,85430,4.8,1.68,287.325,"February 21, 24",0.0168
2024-02-20,289.2,291.1,284.4,285.1,280.63,182151,182151,-4.1,-1.42,287.45,"February 20, 24",-0.0142
2024-02-19,296,296.9,290,291.4,286.83,113174,113174,-4.6,-1.55,293.575,"February 19, 24",-0.0155
2024-02-16,298.9,300.2,296.4,298.4,293.72,128936,128936,-0.5,-0.16728,298.475,"February 16, 24",-0.0016728
2024-02-15,293.6,299,291.5,298,293.33,177942,177942,4.4,1.5,295.525,"February 15, 24",0.015
2024-02-14,291.1,294.7,289.3,292.2,287.62,187076,187076,1.1,0.37788,291.825,"February 14, 24",0.0037788
2024-02-13,286.2,296.6,285.5,291.1,286.53,190878,190878,4.9,1.71,289.85,"February 13, 24",0.0171
2024-02-12,284.1,296.2,278.1,284.4,279.94,253883,253883,0.29998,0.1056,285.7,"February 12, 24",0.001056
