date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-17,50,50.48,50,50.42,50.42,1706591,1706591,0.42,0.84,50.225,"May 17, 24",0.0084
2024-05-16,49.8,49.87,49.56,49.87,49.87,1452105,1452105,0.07,0.14056,49.775,"May 16, 24",0.0014056
2024-05-15,49.93,50.2,49.74,50.1,49.67,926551,926551,0.17,0.34048,49.9925,"May 15, 24",0.0034048
2024-05-14,50.24,50.34,49.82,49.93,49.5,1107156,1107156,-0.31,-0.61704,50.0825,"May 14, 24",-0.0061704
2024-05-13,49.8,50.38,49.76,50.18,49.75,1126129,1126129,0.38,0.76305,50.03,"May 13, 24",0.0076305
2024-05-10,49.58,49.87,49.53,49.8,49.37,968750,968750,0.22,0.44373,49.695,"May 10, 24",0.0044373
2024-05-09,49.15,49.5,49.15,49.5,49.08,912897,912897,0.35,0.71211,49.325,"May 09, 24",0.0071211
2024-05-08,49.11,49.39,49.09,49.17,48.75,839902,839902,0.059997,0.12217,49.19,"May 08, 24",0.0012217
2024-05-07,48.59,49.15,48.59,49.06,48.64,1382270,1382270,0.47,0.96728,48.8475,"May 07, 24",0.0096728
2024-05-06,48.54,48.74,48.23,48.36,47.95,830504,830504,-0.18,-0.37083,48.4675,"May 06, 24",-0.0037083
2024-05-03,48.64,48.88,48.64,48.8,48.38,1080584,1080584,0.16,0.32895,48.74,"May 03, 24",0.0032895
2024-05-02,48.5,48.85,48.38,48.81,48.39,1298427,1298427,0.31,0.63918,48.635,"May 02, 24",0.0063918
2024-04-30,48.14,48.55,48.08,48.5,48.09,1853341,1853341,0.36,0.74782,48.3175,"April 30, 24",0.0074782
2024-04-29,48.05,48.46,48.05,48.06,47.65,1267354,1267354,0.010002,0.02081165,48.155,"April 29, 24",0.0002081165
2024-04-26,47.89,48.33,47.79,48.25,47.84,2084186,2084186,0.36,0.75172,48.065,"April 26, 24",0.0075172
2024-04-25,47.06,47.82,46.45,47.59,47.18,4412853,4412853,0.53,1.13,47.23,"April 25, 24",0.0113
2024-04-24,45.01,45.28,44.83,44.96,44.58,1283598,1283598,-0.049999,-0.11109,45.02,"April 24, 24",-0.0011109
2024-04-23,45.3,45.39,44.75,44.98,44.6,1486046,1486046,-0.32,-0.7064,45.105,"April 23, 24",-0.007064
2024-04-22,44.85,45.13,44.81,45.05,44.66,1330751,1330751,0.2,0.44593,44.96,"April 22, 24",0.0044593
2024-04-19,44.04,44.86,44.04,44.47,44.09,3571117,3571117,0.43,0.97639,44.3525,"April 19, 24",0.0097639
2024-04-18,43.87,44.38,43.85,44.23,43.85,2344660,2344660,0.36,0.82061,44.0825,"April 18, 24",0.0082061
2024-04-17,44.22,44.38,43.85,43.87,43.5,1974897,1974897,-0.35,-0.7915,44.08,"April 17, 24",-0.007915
2024-04-16,44.01,44.34,43.88,43.92,43.54,2068684,2068684,-0.09,-0.2045,44.0375,"April 16, 24",-0.002045
2024-04-15,44.33,44.46,44.09,44.27,43.89,1712249,1712249,-0.060002,-0.13535,44.2875,"April 15, 24",-0.0013535
2024-04-12,44.81,44.93,44.46,44.47,44.09,1531647,1531647,-0.34,-0.75876,44.6675,"April 12, 24",-0.0075876
2024-04-11,44.6,44.93,44.46,44.73,44.35,1312208,1312208,0.13,0.29148,44.68,"April 11, 24",0.0029148
2024-04-10,44.88,44.93,44.61,44.71,44.33,1236593,1236593,-0.17,-0.37879,44.7825,"April 10, 24",-0.0037879
2024-04-09,44.5,44.76,44.28,44.74,44.36,1420708,1420708,0.24,0.53933,44.57,"April 09, 24",0.0053933
2024-04-08,44.83,44.83,44.54,44.65,44.27,1034249,1034249,-0.18,-0.40152,44.7125,"April 08, 24",-0.0040152
2024-04-05,45.05,45.12,44.72,44.85,44.47,1348920,1348920,-0.2,-0.44395,44.935,"April 05, 24",-0.0044395
2024-04-04,45.36,45.45,45.15,45.21,44.82,1067542,1067542,-0.15,-0.33069,45.2925,"April 04, 24",-0.0033069
2024-04-03,45.82,45.9,45.35,45.37,44.98,1576406,1576406,-0.45,-0.9821,45.61,"April 03, 24",-0.009821
2024-04-02,46.55,46.55,45.92,46.02,45.63,1062999,1062999,-0.53,-1.14,46.26,"April 02, 24",-0.0114
2024-03-28,46.45,46.61,46.33,46.52,46.12,1078663,1078663,0.069999,0.1507,46.4775,"March 28, 24",0.001507
2024-03-27,46.05,46.39,45.92,46.27,45.87,858032,858032,0.22,0.47774,46.1575,"March 27, 24",0.0047774
2024-03-26,45.94,46.36,45.9,46.26,45.86,978612,978612,0.315,0.69656,46.115,"March 26, 24",0.0069656
2024-03-25,46.25,46.53,46.17,46.22,45.82,908511,908511,-0.029999,-0.06486486,46.2925,"March 25, 24",-0.0006486486
2024-03-22,45.83,46.57,45.82,46.41,46.01,1275550,1275550,0.58,1.27,46.1575,"March 22, 24",0.0127
2024-03-21,45.54,45.81,45.31,45.57,45.18,1224110,1224110,0.025002,0.06587615,45.5575,"March 21, 24",0.0006587615
2024-03-20,45.86,45.88,45.36,45.49,45.1,1673695,1673695,-0.375,-0.8068,45.6475,"March 20, 24",-0.008068
2024-03-19,46.42,47.3,45.9,46.11,45.72,2812353,2812353,-0.315,-0.66782,46.4325,"March 19, 24",-0.0066782
2024-03-18,45.05,45.13,44.62,44.64,44.26,1348698,1348698,-0.41,-0.9101,44.86,"March 18, 24",-0.009101
2024-03-15,45.4,45.51,45.05,45.14,44.75,4246264,4246264,-0.255,-0.57269,45.275,"March 15, 24",-0.0057269
2024-03-14,45.63,45.76,45.31,45.51,45.13,1039957,1039957,-0.12,-0.26298,45.5525,"March 14, 24",-0.0026298
2024-03-13,45.47,45.7,45.38,45.67,45.28,614689,614689,0.205,0.43985,45.555,"March 13, 24",0.0043985
2024-03-12,45.37,45.57,45.35,45.48,45.09,806339,806339,0.11,0.24245,45.4425,"March 12, 24",0.0024245
2024-03-11,44.98,45.26,44.96,45.2,44.81,1060173,1060173,0.22,0.48911,45.1,"March 11, 24",0.0048911
2024-03-08,44.86,45.1,44.76,45.06,44.67,739873,739873,0.2,0.44583,44.945,"March 08, 24",0.0044583
2024-03-07,44.96,45.06,44.8,44.85,44.47,1052368,1052368,-0.105,-0.24466,44.9175,"March 07, 24",-0.0024466
