date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-07-01,14.45,14.48,14.41,14.48,14.48,182824,182824,0.03,0.20761,14.455,"July 01, 24",0.0020761
2024-06-28,14.45,14.48,14.38,14.41,14.41,117994,117994,-0.04,-0.27682,14.43,"June 28, 24",-0.0027682
2024-06-27,14.49,14.49,14.36,14.4,14.4,220190,220190,-0.09,-0.62112,14.435,"June 27, 24",-0.0062112
2024-06-26,14.3,14.44,14.29,14.42,14.42,288296,288296,0.12,0.83916,14.3625,"June 26, 24",0.0083916
2024-06-25,14.57,14.59,14.4,14.42,14.42,261549,261549,-0.15,-1.03,14.495,"June 25, 24",-0.0103
2024-06-24,14.52,14.53,14.4,14.53,14.53,152208,152208,0.01,0.06887052,14.495,"June 24, 24",0.0006887052
2024-06-21,14.44,14.5,14.4,14.46,14.46,199506,199506,0.02,0.1385,14.45,"June 21, 24",0.001385
2024-06-20,14.55,14.68,14.51,14.62,14.47,247276,247276,0.07,0.4811,14.59,"June 20, 24",0.004811
2024-06-18,14.67,14.7,14.51,14.57,14.42,256599,256599,-0.1,-0.68166,14.6125,"June 18, 24",-0.0068166
2024-06-17,14.8,14.8,14.61,14.64,14.49,261281,261281,-0.16,-1.08,14.7125,"June 17, 24",-0.0108
2024-06-14,14.65,14.8,14.65,14.78,14.63,175905,175905,0.13,0.88737,14.72,"June 14, 24",0.0088737
2024-06-13,14.71,14.73,14.64,14.73,14.58,169273,169273,0.02,0.13596,14.7025,"June 13, 24",0.0013596
2024-06-12,14.74,14.78,14.62,14.67,14.52,220806,220806,-0.07,-0.4749,14.7025,"June 12, 24",-0.004749
2024-06-11,14.58,14.63,14.48,14.63,14.48,185424,185424,0.05,0.34294,14.58,"June 11, 24",0.0034294
2024-06-10,14.45,14.55,14.45,14.52,14.37,151990,151990,0.07,0.48443,14.4925,"June 10, 24",0.0048443
2024-06-07,14.44,14.5,14.38,14.5,14.35,178520,178520,0.06,0.41551,14.455,"June 07, 24",0.0041551
2024-06-06,14.44,14.52,14.43,14.47,14.32,158169,158169,0.03,0.20776,14.465,"June 06, 24",0.0020776
2024-06-05,14.48,14.48,14.42,14.48,14.33,168010,168010,0.0,0.0,14.465,"June 05, 24",0.0
2024-06-04,14.35,14.44,14.31,14.43,14.28,348469,348469,0.08,0.55749,14.3825,"June 04, 24",0.0055749
2024-06-03,14.5,14.5,14.28,14.39,14.24,268409,268409,-0.11,-0.75862,14.4175,"June 03, 24",-0.0075862
2024-05-31,14.34,14.49,14.27,14.42,14.27,273301,273301,0.08,0.55788,14.38,"May 31, 24",0.0055788
2024-05-30,14.34,14.38,14.18,14.29,14.14,454010,454010,-0.05,-0.34868,14.2975,"May 30, 24",-0.0034868
2024-05-29,14.36,14.41,14.23,14.27,14.13,340996,340996,-0.09,-0.62674,14.3175,"May 29, 24",-0.0062674
2024-05-28,14.48,14.51,14.34,14.36,14.21,316032,316032,-0.12,-0.82873,14.4225,"May 28, 24",-0.0082873
2024-05-24,14.52,14.53,14.36,14.45,14.3,301785,301785,-0.07,-0.48209,14.465,"May 24, 24",-0.0048209
2024-05-23,14.63,14.63,14.43,14.47,14.32,217057,217057,-0.16,-1.09,14.54,"May 23, 24",-0.0109
2024-05-22,14.74,14.74,14.49,14.52,14.37,324753,324753,-0.22,-1.49,14.6225,"May 22, 24",-0.0149
